,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
1,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
2,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
3,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
4,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
5,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
6,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
7,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
8,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
9,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
10,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
11,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
12,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
13,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
14,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
15,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
16,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
17,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
18,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
19,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
20,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
21,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
22,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
23,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
24,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
25,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
26,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
27,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
28,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
29,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
30,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
31,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
32,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
33,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
34,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
35,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
36,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
37,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
38,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
39,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
40,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
41,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
42,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
43,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
44,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
45,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
46,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
47,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
48,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
49,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
50,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
51,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
52,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
53,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
54,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
55,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
56,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
57,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
58,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
59,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
60,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
61,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
62,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
63,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
64,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
65,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
66,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
67,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
68,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
69,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
70,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
71,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
72,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
73,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
74,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
75,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
76,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
77,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
78,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
79,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
80,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
81,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
82,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
83,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
84,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
85,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
86,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
87,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
88,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
89,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
90,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
91,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
92,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
93,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
94,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
95,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
96,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
97,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
98,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
99,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
100,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
101,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
102,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
103,2019,493,152,20,6,12,64,28,2,62,.308,.353,.446,.799
104,2020,156,35,5,0,1,10,12,0,21,.224,.281,.276,.557
105,2021,517,117,22,3,5,39,27,3,41,.226,.265,.309,.574
106,2022,288,79,18,2,2,24,16,0,48,.274,.316,.372,.688
107,2023,200,52,14,0,3,27,16,0,29,.260,.318,.375,.693
108,2018,91,19,2,0,0,6,4,1,23,.209,.247,.231,.478
