,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
1,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
2,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
3,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
4,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
5,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
6,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
7,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
8,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
9,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
10,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
11,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
12,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
13,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
14,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
15,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
16,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
17,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
18,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
19,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
20,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
21,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
22,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
23,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
24,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
25,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
26,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
27,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
28,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
29,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
30,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
31,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
32,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
33,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
34,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
35,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
36,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
37,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
38,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
39,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
40,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
41,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
42,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
43,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
44,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
45,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
46,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
47,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
48,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
49,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
50,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
51,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
52,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
53,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
54,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
55,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
56,2022,117,17,4,0,5,17,8,0,33,.145,.197,.308,.505
57,2023,139,32,7,0,4,13,8,0,40,.230,.277,.367,.644
