,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
1,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
2,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
3,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
4,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
5,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
6,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
7,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
8,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
9,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
10,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
11,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
12,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
13,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
14,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
15,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
16,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
17,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
18,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
19,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
20,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
21,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
22,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
23,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
24,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
25,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
26,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
27,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
28,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
29,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
30,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
31,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
32,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
33,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
34,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
35,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
36,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
37,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
38,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
39,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
40,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
41,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
42,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
43,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
44,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
45,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
46,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
47,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
48,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
49,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
50,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
51,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
52,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
53,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
54,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
55,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
56,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
57,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
58,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
59,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
60,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
61,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
62,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
63,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
64,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
65,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
66,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
67,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
68,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
69,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
70,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
71,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
72,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
73,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
74,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
75,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
76,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
77,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
78,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
79,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
80,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
81,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
82,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
83,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
84,2021,109,26,3,1,5,15,13,1,28,.239,.317,.422,.739
85,2022,290,66,16,3,14,40,51,1,71,.228,.340,.448,.788
86,2023,257,67,13,0,7,28,41,2,68,.261,.360,.393,.753
