,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
1,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
2,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
3,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
4,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
5,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
6,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
7,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
8,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
9,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
10,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
11,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
12,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
13,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
14,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
15,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
16,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
17,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
18,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
19,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
20,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
21,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
22,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
23,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
24,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
25,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
26,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
27,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
28,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
29,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
30,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
31,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
32,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
33,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
34,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
35,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
36,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
37,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
38,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
39,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
40,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
41,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
42,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
43,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
44,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
45,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
46,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
47,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
48,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
49,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
50,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
51,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
52,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
53,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
54,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
55,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
56,2022,3,1,0,0,0,0,1,0,2,.333,.500,.333,.833
57,2023,14,1,1,0,0,1,0,0,10,.071,.071,.143,.214
