,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
1,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
2,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
3,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
4,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
5,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
6,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
7,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
8,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
9,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
10,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
11,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
12,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
13,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
14,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
15,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
16,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
17,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
18,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
19,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
20,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
21,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
22,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
23,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
24,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
25,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
26,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
27,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
28,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
29,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
30,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
31,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
32,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
33,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
34,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
35,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
36,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
37,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
38,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
39,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
40,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
41,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
42,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
43,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
44,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
45,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
46,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
47,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
48,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
49,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
50,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
51,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
52,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
53,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
54,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
55,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
56,2022,14,4,0,0,0,2,2,0,3,.286,.375,.286,.661
57,2023,53,15,2,0,4,13,4,0,15,.283,.339,.547,.886
