,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
1,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
2,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
3,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
4,2022,297,81,12,1,2,17,34,1,46,.273,.351,.340,.691
5,2023,101,24,6,1,1,9,10,1,28,.238,.304,.347,.651
6,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
7,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
8,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
9,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
10,2022,297,81,12,1,2,17,34,1,46,.273,.351,.340,.691
11,2023,101,24,6,1,1,9,10,1,28,.238,.304,.347,.651
12,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
13,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
14,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
15,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
16,2022,297,81,12,1,2,17,34,1,46,.273,.351,.340,.691
17,2023,101,24,6,1,1,9,10,1,28,.238,.304,.347,.651
18,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
19,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
20,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
21,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
22,2022,297,81,12,1,2,17,34,1,46,.273,.351,.340,.691
23,2023,101,24,6,1,1,9,10,1,28,.238,.304,.347,.651
24,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
25,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
26,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
27,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
28,2022,297,81,12,1,2,17,34,1,46,.273,.351,.340,.691
29,2023,101,24,6,1,1,9,10,1,28,.238,.304,.347,.651
30,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
31,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
32,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
33,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
34,2022,297,81,12,1,2,17,34,1,46,.273,.351,.340,.691
35,2023,101,24,6,1,1,9,10,1,28,.238,.304,.347,.651
36,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
37,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
38,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
39,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
40,2022,297,81,12,1,2,17,34,1,46,.273,.351,.340,.691
41,2023,101,24,6,1,1,9,10,1,28,.238,.304,.347,.651
42,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
43,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
44,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
45,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
46,2022,297,81,12,1,2,17,34,1,46,.273,.351,.340,.691
47,2023,101,24,6,1,1,9,10,1,28,.238,.304,.347,.651
48,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
49,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
50,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
51,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
52,2022,297,81,12,1,2,17,34,1,46,.273,.351,.340,.691
53,2023,101,24,6,1,1,9,10,1,28,.238,.304,.347,.651
54,2018,67,14,2,0,0,5,7,0,3,.209,.284,.239,.523
55,2019,61,15,4,0,1,3,7,0,14,.246,.324,.361,.685
56,2020,57,19,6,0,0,9,10,0,17,.333,.426,.439,.865
57,2021,132,35,3,0,1,5,23,2,23,.265,.374,.311,.685
