,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
1,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
2,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
3,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
4,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
5,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
6,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
7,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
8,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
9,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
10,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
11,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
12,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
13,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
14,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
15,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
16,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
17,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
18,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
19,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
20,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
21,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
22,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
23,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
24,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
25,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
26,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
27,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
28,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
29,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
30,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
31,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
32,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
33,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
34,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
35,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
36,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
37,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
38,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
39,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
40,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
41,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
42,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
43,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
44,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
45,2019,357,85,18,3,7,33,40,0,93,.238,.321,.364,.685
46,2020,90,14,1,0,1,3,14,0,26,.156,.269,.200,.469
47,2021,174,35,1,0,6,18,9,0,38,.201,.246,.310,.556
48,2022,489,129,22,4,17,52,17,0,79,.264,.294,.429,.723
49,2023,241,53,6,1,9,29,29,0,57,.220,.309,.365,.674
