,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
1,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
2,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
3,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
4,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
5,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
6,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
7,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
8,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
9,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
10,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
11,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
12,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
13,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
14,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
15,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
16,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
17,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
18,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
19,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
20,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
21,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
22,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
23,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
24,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
25,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
26,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
27,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
28,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
29,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
30,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
31,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
32,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
33,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
34,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
35,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
36,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
37,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
38,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
39,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
40,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
41,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
42,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
43,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
44,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
45,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
46,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
47,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
48,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
49,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
50,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
51,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
52,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
53,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
54,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
55,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
56,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
57,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
58,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
59,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
60,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
61,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
62,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
63,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
64,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
65,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
66,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
67,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
68,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
69,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
70,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
71,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
72,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
73,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
74,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
75,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
76,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
77,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
78,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
79,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
80,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
81,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
82,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
83,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
84,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
85,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
86,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
87,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
88,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
89,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
90,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
91,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
92,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
93,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
94,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
95,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
96,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
97,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
98,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
99,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
100,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
101,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
102,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
103,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
104,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
105,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
106,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
107,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
108,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
109,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
110,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
111,2022,16,2,0,0,1,4,0,0,4,.125,.118,.313,.431
112,2022,65,18,3,0,5,16,9,0,26,.277,.365,.554,.919
113,2022,81,20,3,0,6,20,9,0,30,.247,.319,.506,.825
114,2023,52,12,2,0,0,4,10,0,11,.231,.355,.269,.624
115,2020,36,10,3,0,0,4,0,0,7,.278,.278,.361,.639
