,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
1,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
2,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
3,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
4,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
5,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
6,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
7,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
8,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
9,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
10,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
11,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
12,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
13,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
14,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
15,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
16,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
17,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
18,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
19,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
20,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
21,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
22,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
23,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
24,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
25,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
26,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
27,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
28,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
29,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
30,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
31,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
32,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
33,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
34,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
35,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
36,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
37,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
38,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
39,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
40,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
41,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
42,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
43,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
44,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
45,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
46,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
47,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
48,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
49,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
50,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
51,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
52,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
53,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
54,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
55,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
56,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
57,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
58,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
59,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
60,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
61,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
62,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
63,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
64,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
65,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
66,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
67,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
68,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
69,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
70,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
71,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
72,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
73,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
74,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
75,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
76,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
77,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
78,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
79,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
80,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
81,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
82,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
83,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
84,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
85,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
86,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
87,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
88,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
89,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
90,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
91,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
92,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
93,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
94,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
95,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
96,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
97,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
98,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
99,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
100,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
101,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
102,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
103,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
104,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
105,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
106,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
107,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
108,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
109,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
110,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
111,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
112,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
113,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
114,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
115,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
116,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
117,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
118,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
119,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
120,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
121,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
122,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
123,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
124,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
125,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
126,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
127,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
128,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
129,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
130,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
131,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
132,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
133,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
134,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
135,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
136,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
137,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
138,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
139,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
140,2019,147,31,7,0,8,23,17,0,52,.211,.293,.422,.715
141,2020,21,3,0,0,1,1,4,0,8,.143,.280,.286,.566
142,2021,7,1,0,0,0,0,1,0,1,.143,.250,.143,.393
143,2022,69,15,1,0,2,8,11,1,24,.217,.321,.319,.640
144,2023,194,47,6,0,6,24,31,1,59,.242,.355,.366,.721
