,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
1,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
2,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
3,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
4,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
5,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
6,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
7,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
8,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
9,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
10,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
11,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
12,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
13,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
14,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
15,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
16,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
17,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
18,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
19,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
20,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
21,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
22,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
23,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
24,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
25,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
26,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
27,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
28,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
29,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
30,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
31,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
32,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
33,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
34,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
35,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
36,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
37,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
38,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
39,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
40,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
41,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
42,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
43,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
44,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
45,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
46,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
47,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
48,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
49,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
50,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
51,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
52,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
53,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
54,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
55,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
56,2022,19,2,1,0,0,1,2,0,6,.105,.227,.158,.385
57,2023,5,2,0,0,1,2,2,0,1,.400,.571,1.000,1.571
