,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
1,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
2,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
3,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
4,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
5,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
6,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
7,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
8,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
9,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
10,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
11,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
12,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
13,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
14,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
15,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
16,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
17,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
18,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
19,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
20,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
21,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
22,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
23,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
24,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
25,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
26,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
27,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
28,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
29,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
30,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
31,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
32,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
33,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
34,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
35,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
36,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
37,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
38,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
39,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
40,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
41,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
42,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
43,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
44,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
45,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
46,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
47,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
48,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
49,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
50,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
51,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
52,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
53,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
54,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
55,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
56,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
57,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
58,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
59,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
60,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
61,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
62,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
63,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
64,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
65,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
66,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
67,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
68,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
69,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
70,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
71,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
72,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
73,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
74,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
75,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
76,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
77,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
78,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
79,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
80,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
81,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
82,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
83,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
84,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
85,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
86,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
87,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
88,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
89,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
90,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
91,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
92,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
93,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
94,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
95,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
96,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
97,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
98,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
99,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
100,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
101,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
102,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
103,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
104,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
105,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
106,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
107,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
108,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
109,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
110,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
111,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
112,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
113,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
114,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
115,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
116,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
117,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
118,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
119,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
120,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
121,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
122,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
123,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
124,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
125,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
126,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
127,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
128,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
129,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
130,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
131,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
132,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
133,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
134,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
135,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
136,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
137,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
138,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
139,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
140,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
141,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
142,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
143,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
144,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
145,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
146,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
147,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
148,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
149,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
150,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
151,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
152,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
153,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
154,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
155,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
156,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
157,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
158,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
159,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
160,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
161,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
162,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
163,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
164,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
165,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
166,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
167,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
168,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
169,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
170,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
171,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
172,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
173,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
174,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
175,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
176,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
177,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
178,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
179,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
180,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
181,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
182,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
183,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
184,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
185,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
186,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
187,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
188,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
189,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
190,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
191,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
192,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
193,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
194,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
195,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
196,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
197,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
198,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
199,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
200,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
201,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
202,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
203,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
204,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
205,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
206,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
207,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
208,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
209,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
210,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
211,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
212,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
213,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
214,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
215,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
216,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
217,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
218,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
219,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
220,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
221,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
222,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
223,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
224,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
225,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
226,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
227,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
228,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
229,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
230,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
231,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
232,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
233,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
234,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
235,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
236,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
237,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
238,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
239,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
240,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
241,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
242,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
243,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
244,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
245,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
246,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
247,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
248,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
249,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
250,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
251,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
252,2015,7,1,0,0,0,0,0,0,3,.143,.143,.143,.286
253,2016,396,93,20,2,17,63,42,3,93,.235,.309,.424,.733
254,2017,511,124,32,2,19,69,47,2,114,.243,.312,.425,.737
255,2018,532,119,30,4,20,58,71,2,96,.224,.319,.408,.727
256,2019,524,132,32,0,36,90,60,0,99,.252,.336,.519,.855
257,2020,171,39,9,0,9,23,22,0,36,.228,.321,.439,.760
258,2021,426,90,21,4,19,54,54,3,96,.211,.306,.413,.719
259,2022,388,88,18,1,9,43,49,1,66,.227,.318,.348,.666
260,2023,240,53,8,0,14,36,21,0,58,.221,.288,.429,.717
