,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
1,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
2,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
3,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
4,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
5,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
6,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
7,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
8,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
9,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
10,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
11,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
12,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
13,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
14,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
15,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
16,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
17,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
18,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
19,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
20,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
21,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
22,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
23,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
24,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
25,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
26,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
27,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
28,2023,45,9,3,0,0,4,6,0,16,.200,.294,.267,.561
