,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,14,3,0,0,0,0,4,0,6,.214,.389,.214,.603
1,2021,33,3,0,0,1,3,3,1,16,.091,.167,.182,.349
2,2022,46,6,1,0,0,2,3,0,19,.130,.184,.152,.336
3,2022,60,12,2,1,3,6,1,0,25,.200,.226,.417,.643
4,2022,106,18,3,1,3,8,4,0,44,.170,.207,.302,.509
5,2023,169,56,13,1,11,34,5,0,56,.331,.362,.615,.977
6,2020,14,3,0,0,0,0,4,0,6,.214,.389,.214,.603
7,2021,33,3,0,0,1,3,3,1,16,.091,.167,.182,.349
8,2022,46,6,1,0,0,2,3,0,19,.130,.184,.152,.336
9,2022,60,12,2,1,3,6,1,0,25,.200,.226,.417,.643
10,2022,106,18,3,1,3,8,4,0,44,.170,.207,.302,.509
11,2023,169,56,13,1,11,34,5,0,56,.331,.362,.615,.977
12,2020,14,3,0,0,0,0,4,0,6,.214,.389,.214,.603
13,2021,33,3,0,0,1,3,3,1,16,.091,.167,.182,.349
14,2022,46,6,1,0,0,2,3,0,19,.130,.184,.152,.336
15,2022,60,12,2,1,3,6,1,0,25,.200,.226,.417,.643
16,2022,106,18,3,1,3,8,4,0,44,.170,.207,.302,.509
17,2023,169,56,13,1,11,34,5,0,56,.331,.362,.615,.977
18,2020,14,3,0,0,0,0,4,0,6,.214,.389,.214,.603
19,2021,33,3,0,0,1,3,3,1,16,.091,.167,.182,.349
20,2022,46,6,1,0,0,2,3,0,19,.130,.184,.152,.336
21,2022,60,12,2,1,3,6,1,0,25,.200,.226,.417,.643
22,2022,106,18,3,1,3,8,4,0,44,.170,.207,.302,.509
23,2023,169,56,13,1,11,34,5,0,56,.331,.362,.615,.977
24,2020,14,3,0,0,0,0,4,0,6,.214,.389,.214,.603
25,2021,33,3,0,0,1,3,3,1,16,.091,.167,.182,.349
26,2022,46,6,1,0,0,2,3,0,19,.130,.184,.152,.336
27,2022,60,12,2,1,3,6,1,0,25,.200,.226,.417,.643
