,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
1,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
2,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
3,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
4,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
5,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
6,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
7,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
8,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
9,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
10,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
11,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
12,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
13,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
14,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
15,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
16,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
17,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
18,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
19,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
20,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
21,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
22,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
23,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
24,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
25,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
26,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
27,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
28,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
29,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
30,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
31,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
32,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
33,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
34,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
35,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
36,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
37,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
38,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
39,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
40,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
41,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
42,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
43,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
44,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
45,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
46,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
47,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
48,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
49,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
50,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
51,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
52,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
53,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
54,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
55,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
56,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
57,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
58,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
59,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
60,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
61,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
62,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
63,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
64,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
65,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
66,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
67,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
68,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
69,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
70,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
71,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
72,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
73,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
74,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
75,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
76,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
77,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
78,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
79,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
80,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
81,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
82,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
83,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
84,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
85,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
86,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
87,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
88,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
89,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
90,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
91,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
92,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
93,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
94,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
95,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
96,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
97,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
98,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
99,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
100,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
101,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
102,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
103,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
104,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
105,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
106,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
107,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
108,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
109,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
110,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
111,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
112,2021,468,105,28,3,25,71,51,4,131,.224,.311,.457,.768
113,2022,485,104,31,2,17,57,61,0,141,.214,.305,.392,.697
114,2023,244,55,14,1,11,30,27,2,71,.225,.305,.426,.731
115,2019,371,101,22,3,21,55,32,1,107,.272,.334,.518,.852
116,2020,192,57,14,4,10,35,30,2,55,.297,.400,.568,.968
