,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
1,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
2,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
3,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
4,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
5,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
6,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
7,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
8,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
9,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
10,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
11,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
12,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
13,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
14,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
15,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
16,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
17,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
18,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
19,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
20,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
21,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
22,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
23,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
24,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
25,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
26,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
27,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
28,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
29,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
30,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
31,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
32,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
33,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
34,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
35,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
36,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
37,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
38,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
39,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
40,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
41,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
42,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
43,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
44,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
45,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
46,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
47,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
48,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
49,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
50,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
51,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
52,2022,217,50,6,1,9,24,18,0,45,.230,.304,.392,.696
53,2023,203,43,3,0,4,19,13,0,42,.212,.261,.286,.547
54,2021,31,9,0,0,4,7,3,0,8,.290,.353,.677,1.030
