,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
3,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
5,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
12,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
14,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
21,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
23,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
24,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
29,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
30,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
32,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
33,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
34,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
39,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
40,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
41,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
42,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
43,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
44,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
45,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
46,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
47,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
48,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
49,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
50,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
51,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
52,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
53,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
54,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
55,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
56,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
57,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
58,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
59,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
60,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
61,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
62,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
63,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
64,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
65,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
66,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
67,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
68,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
69,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
70,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
71,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
72,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
73,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
74,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
75,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
76,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
77,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
78,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
79,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
80,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
81,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
82,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
83,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
84,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
85,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
86,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
87,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
88,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
89,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
90,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
91,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
92,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
93,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
94,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
95,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
96,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
97,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
98,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
99,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
100,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
101,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
102,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
103,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
104,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
105,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
106,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
107,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
108,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
109,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
110,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
111,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
112,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
113,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
114,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
115,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
116,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
117,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
118,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
119,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
120,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
121,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
122,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
123,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
124,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
125,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
126,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
127,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
128,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
129,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
130,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
131,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
132,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
133,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
134,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
135,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
136,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
137,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
138,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
139,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
140,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
141,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
142,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
143,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
144,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
145,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
146,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
147,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
148,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
149,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
150,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
151,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
152,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
153,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
154,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
155,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
156,2019,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
157,2019,4,1,0,0,0,1,0,0,2,.250,.250,.250,.500
158,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
159,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
160,2021,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
161,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
162,2017,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
163,2018,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
