,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
1,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
2,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
3,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
4,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
5,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
6,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
7,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
8,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
9,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
10,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
11,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
12,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
13,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
14,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
15,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
16,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
17,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
18,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
19,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
20,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
21,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
22,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
23,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
24,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
25,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
26,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
27,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
28,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
29,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
30,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
31,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
32,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
33,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
34,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
35,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
36,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
37,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
38,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
39,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
40,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
41,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
42,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
43,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
44,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
45,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
46,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
47,2023,227,57,19,0,4,33,18,0,63,.251,.321,.388,.709
48,2020,25,9,2,0,1,3,2,0,6,.360,.407,.560,.967
49,2021,262,73,14,0,7,38,28,0,76,.279,.361,.412,.773
50,2022,403,100,17,1,16,51,30,1,98,.248,.305,.414,.719
