,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
1,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
2,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
3,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
4,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
5,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
6,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
7,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
8,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
9,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
10,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
11,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
12,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
13,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
14,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
15,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
16,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
17,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
18,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
19,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
20,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
21,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
22,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
23,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
24,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
25,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
26,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
27,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
28,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
29,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
30,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
31,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
32,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
33,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
34,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
35,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
36,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
37,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
38,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
39,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
40,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
41,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
42,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
43,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
44,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
45,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
46,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
47,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
48,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
49,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
50,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
51,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
52,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
53,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
54,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
55,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
56,2022,376,95,18,4,5,42,36,0,120,.253,.321,.362,.683
57,2023,249,77,11,3,7,22,25,0,77,.309,.375,.462,.837
