,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
1,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
2,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
3,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
4,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
5,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
6,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
7,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
8,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
9,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
10,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
11,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
12,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
13,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
14,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
15,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
16,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
17,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
18,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
19,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
20,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
21,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
22,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
23,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
24,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
25,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
26,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
27,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
28,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
29,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
30,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
31,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
32,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
33,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
34,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
35,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
36,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
37,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
38,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
39,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
40,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
41,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
42,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
43,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
44,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
45,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
46,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
47,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
48,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
49,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
50,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
51,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
52,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
53,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
54,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
55,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
56,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
57,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
58,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
59,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
60,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
61,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
62,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
63,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
64,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
65,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
66,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
67,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
68,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
69,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
70,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
71,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
72,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
73,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
74,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
75,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
76,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
77,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
78,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
79,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
80,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
81,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
82,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
83,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
84,2021,86,17,2,0,5,8,6,0,27,.198,.258,.395,.653
85,2022,253,59,8,4,11,27,22,0,74,.233,.299,.427,.726
86,2023,197,45,7,0,6,22,21,1,62,.228,.317,.355,.672
