,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
1,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
2,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
3,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
4,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
5,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
6,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
7,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
8,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
9,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
10,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
11,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
12,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
13,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
14,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
15,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
16,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
17,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
18,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
19,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
20,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
21,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
22,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
23,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
24,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
25,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
26,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
27,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
28,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
29,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
30,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
31,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
32,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
33,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
34,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
35,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
36,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
37,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
38,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
39,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
40,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
41,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
42,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
43,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
44,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
45,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
46,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
47,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
48,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
49,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
50,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
51,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
52,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
53,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
54,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
55,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
56,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
57,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
58,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
59,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
60,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
61,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
62,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
63,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
64,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
65,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
66,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
67,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
68,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
69,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
70,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
71,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
72,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
73,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
74,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
75,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
76,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
77,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
78,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
79,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
80,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
81,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
82,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
83,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
84,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
85,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
86,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
87,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
88,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
89,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
90,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
91,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
92,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
93,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
94,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
95,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
96,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
97,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
98,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
99,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
100,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
101,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
102,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
103,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
104,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
105,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
106,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
107,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
108,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
109,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
110,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
111,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
112,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
113,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
114,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
115,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
116,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
117,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
118,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
119,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
120,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
121,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
122,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
123,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
124,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
125,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
126,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
127,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
128,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
129,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
130,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
131,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
132,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
133,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
134,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
135,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
136,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
137,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
138,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
139,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
140,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
141,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
142,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
143,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
144,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
145,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
146,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
147,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
148,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
149,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
150,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
151,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
152,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
153,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
154,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
155,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
156,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
157,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
158,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
159,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
160,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
161,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
162,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
163,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
164,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
165,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
166,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
167,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
168,2018,149,39,10,2,12,30,20,0,45,.262,.353,.597,.950
169,2019,328,64,13,1,14,38,39,1,99,.195,.281,.369,.650
170,2020,113,22,6,0,2,18,18,2,37,.195,.303,.301,.604
171,2021,236,53,5,1,9,29,13,0,71,.225,.268,.369,.637
172,2022,134,32,6,1,1,16,8,0,35,.239,.290,.321,.611
173,2023,163,51,11,0,8,32,11,1,40,.313,.358,.528,.886
