,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
1,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
2,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
3,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
4,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
5,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
6,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
7,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
8,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
9,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
10,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
11,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
12,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
13,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
14,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
15,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
16,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
17,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
18,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
19,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
20,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
21,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
22,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
23,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
24,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
25,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
26,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
27,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
28,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
29,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
30,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
31,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
32,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
33,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
34,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
35,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
36,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
37,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
38,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
39,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
40,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
41,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
42,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
43,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
44,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
45,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
46,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
47,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
48,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
49,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
50,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
51,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
52,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
53,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
54,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
55,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
56,2022,397,104,22,2,14,46,42,3,110,.262,.336,.433,.769
57,2023,302,79,14,2,8,33,36,1,87,.262,.340,.401,.741
