,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
1,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
2,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
3,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
4,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
5,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
6,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
7,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
8,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
9,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
10,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
11,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
12,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
13,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
14,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
15,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
16,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
17,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
18,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
19,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
20,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
21,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
22,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
23,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
24,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
25,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
26,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
27,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
28,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
29,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
30,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
31,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
32,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
33,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
34,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
35,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
36,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
37,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
38,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
39,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
40,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
41,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
42,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
43,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
44,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
45,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
46,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
47,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
48,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
49,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
50,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
51,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
52,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
53,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
54,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
55,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
56,2022,76,21,8,0,4,10,3,0,27,.276,.309,.539,.848
57,2023,172,45,11,0,6,25,15,0,62,.262,.328,.430,.758
