,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
1,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
2,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
3,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
4,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
5,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
6,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
7,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
8,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
9,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
10,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
11,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
12,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
13,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
14,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
15,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
16,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
17,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
18,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
19,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
20,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
21,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
22,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
23,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
24,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
25,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
26,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
27,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
28,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
29,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
30,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
31,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
32,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
33,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
34,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
35,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
36,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
37,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
38,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
39,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
40,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
41,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
42,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
43,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
44,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
45,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
46,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
47,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
48,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
49,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
50,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
51,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
52,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
53,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
54,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
55,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
56,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
57,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
58,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
59,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
60,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
61,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
62,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
63,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
64,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
65,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
66,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
67,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
68,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
69,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
70,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
71,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
72,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
73,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
74,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
75,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
76,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
77,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
78,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
79,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
80,2022,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000
81,2022,86,24,4,1,5,6,8,0,29,.279,.374,.523,.897
82,2022,97,24,4,1,5,6,8,0,34,.247,.336,.464,.800
83,2023,156,37,12,1,4,22,20,0,52,.237,.339,.404,.743
84,2021,15,2,1,0,0,2,1,0,3,.133,.235,.200,.435
