,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
1,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
2,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
3,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
4,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
5,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
6,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
7,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
8,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
9,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
10,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
11,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
12,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
13,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
14,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
15,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
16,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
17,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
18,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
19,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
20,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
21,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
22,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
23,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
24,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
25,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
26,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
27,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
28,2023,24,4,0,0,0,1,1,0,7,.167,.200,.167,.367
