,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2016,80,15,3,0,2,9,11,0,19,.188,.290,.300,.590
1,2017,258,51,12,0,7,26,21,0,62,.198,.257,.326,.583
2,2018,15,4,0,0,1,1,2,0,5,.267,.353,.467,.820
3,2018,19,1,0,0,0,1,2,0,3,.053,.143,.053,.196
4,2018,34,5,0,0,1,2,4,0,8,.147,.237,.235,.472
5,2021,20,3,0,0,0,0,2,0,6,.150,.227,.150,.377
6,2021,6,2,1,1,0,1,1,0,2,.333,.429,.833,1.262
7,2021,26,5,1,1,0,1,3,0,8,.192,.276,.308,.584
8,2022,6,1,0,0,0,0,0,0,3,.167,.167,.167,.334
9,2023,23,4,2,0,0,1,3,0,10,.174,.269,.261,.530
10,2016,80,15,3,0,2,9,11,0,19,.188,.290,.300,.590
11,2017,258,51,12,0,7,26,21,0,62,.198,.257,.326,.583
12,2018,15,4,0,0,1,1,2,0,5,.267,.353,.467,.820
13,2018,19,1,0,0,0,1,2,0,3,.053,.143,.053,.196
14,2018,34,5,0,0,1,2,4,0,8,.147,.237,.235,.472
15,2021,20,3,0,0,0,0,2,0,6,.150,.227,.150,.377
16,2021,6,2,1,1,0,1,1,0,2,.333,.429,.833,1.262
17,2021,26,5,1,1,0,1,3,0,8,.192,.276,.308,.584
18,2022,6,1,0,0,0,0,0,0,3,.167,.167,.167,.334
19,2023,23,4,2,0,0,1,3,0,10,.174,.269,.261,.530
20,2016,80,15,3,0,2,9,11,0,19,.188,.290,.300,.590
21,2017,258,51,12,0,7,26,21,0,62,.198,.257,.326,.583
22,2018,15,4,0,0,1,1,2,0,5,.267,.353,.467,.820
23,2018,19,1,0,0,0,1,2,0,3,.053,.143,.053,.196
24,2018,34,5,0,0,1,2,4,0,8,.147,.237,.235,.472
25,2021,20,3,0,0,0,0,2,0,6,.150,.227,.150,.377
26,2021,6,2,1,1,0,1,1,0,2,.333,.429,.833,1.262
27,2021,26,5,1,1,0,1,3,0,8,.192,.276,.308,.584
28,2022,6,1,0,0,0,0,0,0,3,.167,.167,.167,.334
29,2023,23,4,2,0,0,1,3,0,10,.174,.269,.261,.530
30,2016,80,15,3,0,2,9,11,0,19,.188,.290,.300,.590
31,2017,258,51,12,0,7,26,21,0,62,.198,.257,.326,.583
32,2018,15,4,0,0,1,1,2,0,5,.267,.353,.467,.820
33,2018,19,1,0,0,0,1,2,0,3,.053,.143,.053,.196
34,2018,34,5,0,0,1,2,4,0,8,.147,.237,.235,.472
35,2021,20,3,0,0,0,0,2,0,6,.150,.227,.150,.377
36,2021,6,2,1,1,0,1,1,0,2,.333,.429,.833,1.262
37,2021,26,5,1,1,0,1,3,0,8,.192,.276,.308,.584
38,2022,6,1,0,0,0,0,0,0,3,.167,.167,.167,.334
39,2023,23,4,2,0,0,1,3,0,10,.174,.269,.261,.530
40,2016,80,15,3,0,2,9,11,0,19,.188,.290,.300,.590
41,2017,258,51,12,0,7,26,21,0,62,.198,.257,.326,.583
42,2018,15,4,0,0,1,1,2,0,5,.267,.353,.467,.820
43,2018,19,1,0,0,0,1,2,0,3,.053,.143,.053,.196
44,2018,34,5,0,0,1,2,4,0,8,.147,.237,.235,.472
45,2021,20,3,0,0,0,0,2,0,6,.150,.227,.150,.377
46,2021,6,2,1,1,0,1,1,0,2,.333,.429,.833,1.262
47,2021,26,5,1,1,0,1,3,0,8,.192,.276,.308,.584
48,2022,6,1,0,0,0,0,0,0,3,.167,.167,.167,.334
49,2023,23,4,2,0,0,1,3,0,10,.174,.269,.261,.530
50,2016,80,15,3,0,2,9,11,0,19,.188,.290,.300,.590
51,2017,258,51,12,0,7,26,21,0,62,.198,.257,.326,.583
52,2018,15,4,0,0,1,1,2,0,5,.267,.353,.467,.820
53,2018,19,1,0,0,0,1,2,0,3,.053,.143,.053,.196
54,2018,34,5,0,0,1,2,4,0,8,.147,.237,.235,.472
55,2021,20,3,0,0,0,0,2,0,6,.150,.227,.150,.377
56,2021,6,2,1,1,0,1,1,0,2,.333,.429,.833,1.262
57,2021,26,5,1,1,0,1,3,0,8,.192,.276,.308,.584
58,2022,6,1,0,0,0,0,0,0,3,.167,.167,.167,.334
59,2023,23,4,2,0,0,1,3,0,10,.174,.269,.261,.530
60,2016,80,15,3,0,2,9,11,0,19,.188,.290,.300,.590
61,2017,258,51,12,0,7,26,21,0,62,.198,.257,.326,.583
62,2018,15,4,0,0,1,1,2,0,5,.267,.353,.467,.820
63,2018,19,1,0,0,0,1,2,0,3,.053,.143,.053,.196
64,2018,34,5,0,0,1,2,4,0,8,.147,.237,.235,.472
65,2021,20,3,0,0,0,0,2,0,6,.150,.227,.150,.377
66,2021,6,2,1,1,0,1,1,0,2,.333,.429,.833,1.262
67,2021,26,5,1,1,0,1,3,0,8,.192,.276,.308,.584
68,2022,6,1,0,0,0,0,0,0,3,.167,.167,.167,.334
69,2023,23,4,2,0,0,1,3,0,10,.174,.269,.261,.530
70,2016,80,15,3,0,2,9,11,0,19,.188,.290,.300,.590
71,2017,258,51,12,0,7,26,21,0,62,.198,.257,.326,.583
