,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
1,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
2,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
3,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
4,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
5,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
6,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
7,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
8,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
9,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
10,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
11,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
12,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
13,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
14,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
15,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
16,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
17,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
18,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
19,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
20,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
21,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
22,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
23,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
24,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
25,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
26,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
27,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
28,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
29,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
30,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
31,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
32,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
33,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
34,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
35,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
36,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
37,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
38,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
39,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
40,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
41,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
42,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
43,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
44,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
45,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
46,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
47,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
48,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
49,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
50,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
51,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
52,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
53,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
54,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
55,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
56,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
57,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
58,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
59,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
60,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
61,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
62,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
63,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
64,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
65,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
66,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
67,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
68,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
69,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
70,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
71,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
72,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
73,2022,407,70,18,2,8,33,52,0,120,.172,.268,.285,.553
74,2023,242,51,11,2,7,27,36,0,71,.211,.315,.360,.675
75,2021,152,32,10,0,1,15,23,0,49,.211,.314,.296,.610
