,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
1,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
2,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
3,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
4,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
5,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
6,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
7,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
8,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
9,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
10,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
11,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
12,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
13,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
14,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
15,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
16,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
17,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
18,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
19,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
20,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
21,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
22,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
23,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
24,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
25,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
26,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
27,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
28,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
29,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
30,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
31,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
32,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
33,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
34,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
35,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
36,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
37,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
38,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
39,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
40,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
41,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
42,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
43,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
44,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
45,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
46,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
47,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
48,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
49,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
50,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
51,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
52,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
53,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
54,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
55,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
56,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
57,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
58,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
59,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
60,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
61,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
62,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
63,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
64,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
65,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
66,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
67,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
68,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
69,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
70,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
71,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
72,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
73,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
74,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
75,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
76,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
77,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
78,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
79,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
80,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
81,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
82,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
83,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
84,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
85,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
86,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
87,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
88,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
89,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
90,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
91,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
92,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
93,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
94,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
95,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
96,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
97,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
98,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
99,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
100,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
101,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
102,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
103,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
104,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
105,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
106,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
107,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
108,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
109,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
110,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
111,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
112,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
113,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
114,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
115,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
116,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
117,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
118,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
119,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
120,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
121,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
122,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
123,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
124,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
125,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
126,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
127,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
128,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
129,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
130,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
131,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
132,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
133,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
134,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
135,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
136,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
137,2021,121,33,4,0,7,22,9,1,23,.273,.333,.479,.812
138,2022,488,127,22,2,14,62,33,0,89,.260,.322,.400,.722
139,2023,290,79,18,1,9,31,15,1,77,.272,.327,.434,.761
140,2019,64,16,3,0,3,12,3,0,15,.250,.294,.438,.732
141,2020,48,8,0,0,1,3,1,0,19,.167,.231,.229,.460
