,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2015,122,36,8,3,5,16,13,0,26,.295,.363,.533,.896
1,2016,236,53,11,0,13,32,26,0,66,.225,.302,.436,.738
2,2017,49,6,2,1,1,2,6,1,23,.122,.218,.265,.483
3,2018,7,1,0,0,0,0,0,0,4,.143,.143,.143,.286
4,2018,121,14,3,0,3,9,7,1,46,.116,.163,.215,.378
5,2018,128,15,3,0,3,9,7,1,50,.117,.162,.211,.373
6,2021,28,7,1,0,4,9,7,0,11,.250,.400,.714,1.114
7,2022,14,1,0,0,0,2,2,0,7,.071,.188,.071,.259
8,2022,205,55,14,1,13,39,30,0,86,.268,.364,.537,.901
9,2022,219,56,14,1,13,41,32,0,93,.256,.353,.507,.860
10,2023,71,11,0,0,5,14,15,0,37,.155,.310,.366,.676
11,2015,122,36,8,3,5,16,13,0,26,.295,.363,.533,.896
12,2016,236,53,11,0,13,32,26,0,66,.225,.302,.436,.738
13,2017,49,6,2,1,1,2,6,1,23,.122,.218,.265,.483
14,2018,7,1,0,0,0,0,0,0,4,.143,.143,.143,.286
15,2018,121,14,3,0,3,9,7,1,46,.116,.163,.215,.378
16,2018,128,15,3,0,3,9,7,1,50,.117,.162,.211,.373
17,2021,28,7,1,0,4,9,7,0,11,.250,.400,.714,1.114
18,2022,14,1,0,0,0,2,2,0,7,.071,.188,.071,.259
19,2022,205,55,14,1,13,39,30,0,86,.268,.364,.537,.901
20,2022,219,56,14,1,13,41,32,0,93,.256,.353,.507,.860
21,2023,71,11,0,0,5,14,15,0,37,.155,.310,.366,.676
22,2015,122,36,8,3,5,16,13,0,26,.295,.363,.533,.896
23,2016,236,53,11,0,13,32,26,0,66,.225,.302,.436,.738
24,2017,49,6,2,1,1,2,6,1,23,.122,.218,.265,.483
25,2018,7,1,0,0,0,0,0,0,4,.143,.143,.143,.286
26,2018,121,14,3,0,3,9,7,1,46,.116,.163,.215,.378
27,2018,128,15,3,0,3,9,7,1,50,.117,.162,.211,.373
28,2021,28,7,1,0,4,9,7,0,11,.250,.400,.714,1.114
29,2022,14,1,0,0,0,2,2,0,7,.071,.188,.071,.259
30,2022,205,55,14,1,13,39,30,0,86,.268,.364,.537,.901
31,2022,219,56,14,1,13,41,32,0,93,.256,.353,.507,.860
32,2023,71,11,0,0,5,14,15,0,37,.155,.310,.366,.676
33,2015,122,36,8,3,5,16,13,0,26,.295,.363,.533,.896
34,2016,236,53,11,0,13,32,26,0,66,.225,.302,.436,.738
35,2017,49,6,2,1,1,2,6,1,23,.122,.218,.265,.483
36,2018,7,1,0,0,0,0,0,0,4,.143,.143,.143,.286
37,2018,121,14,3,0,3,9,7,1,46,.116,.163,.215,.378
38,2018,128,15,3,0,3,9,7,1,50,.117,.162,.211,.373
39,2021,28,7,1,0,4,9,7,0,11,.250,.400,.714,1.114
40,2022,14,1,0,0,0,2,2,0,7,.071,.188,.071,.259
41,2022,205,55,14,1,13,39,30,0,86,.268,.364,.537,.901
42,2022,219,56,14,1,13,41,32,0,93,.256,.353,.507,.860
43,2023,71,11,0,0,5,14,15,0,37,.155,.310,.366,.676
44,2015,122,36,8,3,5,16,13,0,26,.295,.363,.533,.896
45,2016,236,53,11,0,13,32,26,0,66,.225,.302,.436,.738
46,2017,49,6,2,1,1,2,6,1,23,.122,.218,.265,.483
47,2018,7,1,0,0,0,0,0,0,4,.143,.143,.143,.286
48,2018,121,14,3,0,3,9,7,1,46,.116,.163,.215,.378
49,2018,128,15,3,0,3,9,7,1,50,.117,.162,.211,.373
50,2021,28,7,1,0,4,9,7,0,11,.250,.400,.714,1.114
51,2022,14,1,0,0,0,2,2,0,7,.071,.188,.071,.259
52,2022,205,55,14,1,13,39,30,0,86,.268,.364,.537,.901
53,2022,219,56,14,1,13,41,32,0,93,.256,.353,.507,.860
54,2023,71,11,0,0,5,14,15,0,37,.155,.310,.366,.676
55,2015,122,36,8,3,5,16,13,0,26,.295,.363,.533,.896
56,2016,236,53,11,0,13,32,26,0,66,.225,.302,.436,.738
57,2017,49,6,2,1,1,2,6,1,23,.122,.218,.265,.483
58,2018,7,1,0,0,0,0,0,0,4,.143,.143,.143,.286
59,2018,121,14,3,0,3,9,7,1,46,.116,.163,.215,.378
60,2018,128,15,3,0,3,9,7,1,50,.117,.162,.211,.373
61,2021,28,7,1,0,4,9,7,0,11,.250,.400,.714,1.114
62,2022,14,1,0,0,0,2,2,0,7,.071,.188,.071,.259
63,2022,205,55,14,1,13,39,30,0,86,.268,.364,.537,.901
64,2022,219,56,14,1,13,41,32,0,93,.256,.353,.507,.860
65,2023,71,11,0,0,5,14,15,0,37,.155,.310,.366,.676
66,2015,122,36,8,3,5,16,13,0,26,.295,.363,.533,.896
67,2016,236,53,11,0,13,32,26,0,66,.225,.302,.436,.738
68,2017,49,6,2,1,1,2,6,1,23,.122,.218,.265,.483
69,2018,7,1,0,0,0,0,0,0,4,.143,.143,.143,.286
70,2018,121,14,3,0,3,9,7,1,46,.116,.163,.215,.378
71,2018,128,15,3,0,3,9,7,1,50,.117,.162,.211,.373
72,2021,28,7,1,0,4,9,7,0,11,.250,.400,.714,1.114
73,2022,14,1,0,0,0,2,2,0,7,.071,.188,.071,.259
