,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
1,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
2,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
3,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
4,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
5,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
6,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
7,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
8,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
9,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
10,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
11,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
12,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
13,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
14,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
15,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
16,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
17,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
18,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
19,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
20,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
21,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
22,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
23,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
24,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
25,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
26,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
27,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
28,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
29,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
30,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
31,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
32,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
33,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
34,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
35,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
36,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
37,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
38,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
39,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
40,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
41,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
42,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
43,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
44,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
45,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
46,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
47,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
48,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
49,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
50,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
51,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
52,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
53,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
54,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
55,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
56,2022,141,41,6,0,5,18,11,1,34,.291,.353,.440,.793
57,2023,65,18,2,0,0,7,2,0,13,.277,.314,.308,.622
