,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
1,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
2,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
3,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
4,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
5,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
6,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
7,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
8,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
9,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
10,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
11,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
12,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
13,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
14,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
15,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
16,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
17,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
18,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
19,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
20,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
21,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
22,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
23,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
24,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
25,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
26,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
27,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
28,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
29,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
30,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
31,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
32,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
33,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
34,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
35,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
36,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
37,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
38,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
39,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
40,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
41,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
42,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
43,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
44,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
45,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
46,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
47,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
48,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
49,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
50,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
51,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
52,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
53,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
54,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
55,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
56,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
57,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
58,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
59,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
60,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
61,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
62,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
63,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
64,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
65,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
66,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
67,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
68,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
69,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
70,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
71,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
72,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
73,2020,116,28,7,0,1,16,12,1,31,.241,.333,.328,.661
74,2021,313,71,9,0,7,39,35,8,82,.227,.309,.323,.632
75,2022,272,54,12,0,9,34,31,1,67,.199,.300,.342,.642
76,2023,125,30,0,0,5,18,15,0,33,.240,.333,.360,.693
77,2017,59,15,3,0,1,2,4,1,13,.254,.333,.356,.689
78,2018,181,42,7,0,2,21,12,0,42,.232,.293,.304,.597
79,2019,244,65,11,0,11,34,29,0,59,.266,.348,.447,.795
