,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
1,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
2,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
3,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
4,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
5,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
6,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
7,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
8,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
9,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
10,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
11,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
12,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
13,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
14,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
15,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
16,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
17,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
18,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
19,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
20,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
21,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
22,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
23,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
24,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
25,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
26,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
27,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
28,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
29,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
30,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
31,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
32,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
33,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
34,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
35,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
36,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
37,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
38,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
39,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
40,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
41,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
42,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
43,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
44,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
45,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
46,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
47,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
48,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
49,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
50,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
51,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
52,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
53,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
54,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
55,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
56,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
57,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
58,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
59,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
60,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
61,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
62,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
63,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
64,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
65,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
66,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
67,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
68,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
69,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
70,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
71,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
72,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
73,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
74,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
75,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
76,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
77,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
78,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
79,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
80,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
81,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
82,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
83,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
84,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
85,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
86,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
87,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
88,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
89,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
90,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
91,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
92,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
93,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
94,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
95,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
96,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
97,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
98,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
99,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
100,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
101,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
102,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
103,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
104,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
105,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
106,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
107,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
108,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
109,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
110,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
111,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
112,2020,10,4,1,0,0,1,0,0,4,.400,.400,.500,.900
113,2021,163,35,4,1,8,23,19,1,54,.215,.303,.399,.702
114,2022,334,93,14,1,20,45,39,1,104,.278,.354,.506,.860
115,2023,298,81,18,1,10,38,31,0,65,.272,.347,.440,.787
