,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2012,192,57,7,1,8,36,31,1,39,.297,.394,.469,.863
1,2013,88,19,8,0,1,9,18,2,18,.216,.352,.341,.693
2,2014,377,85,19,1,15,49,58,1,115,.225,.327,.401,.728
3,2015,355,83,12,0,16,47,65,1,92,.234,.353,.403,.756
4,2016,390,89,14,1,27,72,64,1,116,.228,.339,.477,.816
5,2017,438,108,27,0,22,58,40,0,130,.247,.308,.459,.767
6,2018,440,106,23,2,24,68,72,1,124,.241,.349,.466,.815
7,2019,513,126,26,2,28,77,109,2,139,.246,.380,.468,.848
8,2020,161,37,7,0,8,27,30,0,58,.230,.351,.422,.773
9,2021,279,67,9,0,23,62,87,0,82,.240,.420,.520,.940
10,2022,327,66,7,0,5,27,45,1,79,.202,.301,.269,.570
11,2023,263,67,12,0,8,29,24,0,64,.255,.323,.392,.715
12,2012,192,57,7,1,8,36,31,1,39,.297,.394,.469,.863
13,2013,88,19,8,0,1,9,18,2,18,.216,.352,.341,.693
14,2014,377,85,19,1,15,49,58,1,115,.225,.327,.401,.728
15,2015,355,83,12,0,16,47,65,1,92,.234,.353,.403,.756
16,2016,390,89,14,1,27,72,64,1,116,.228,.339,.477,.816
17,2017,438,108,27,0,22,58,40,0,130,.247,.308,.459,.767
18,2018,440,106,23,2,24,68,72,1,124,.241,.349,.466,.815
19,2019,513,126,26,2,28,77,109,2,139,.246,.380,.468,.848
20,2020,161,37,7,0,8,27,30,0,58,.230,.351,.422,.773
21,2021,279,67,9,0,23,62,87,0,82,.240,.420,.520,.940
22,2022,327,66,7,0,5,27,45,1,79,.202,.301,.269,.570
23,2023,263,67,12,0,8,29,24,0,64,.255,.323,.392,.715
24,2012,192,57,7,1,8,36,31,1,39,.297,.394,.469,.863
25,2013,88,19,8,0,1,9,18,2,18,.216,.352,.341,.693
26,2014,377,85,19,1,15,49,58,1,115,.225,.327,.401,.728
27,2015,355,83,12,0,16,47,65,1,92,.234,.353,.403,.756
28,2016,390,89,14,1,27,72,64,1,116,.228,.339,.477,.816
29,2017,438,108,27,0,22,58,40,0,130,.247,.308,.459,.767
30,2018,440,106,23,2,24,68,72,1,124,.241,.349,.466,.815
31,2019,513,126,26,2,28,77,109,2,139,.246,.380,.468,.848
32,2020,161,37,7,0,8,27,30,0,58,.230,.351,.422,.773
33,2021,279,67,9,0,23,62,87,0,82,.240,.420,.520,.940
34,2022,327,66,7,0,5,27,45,1,79,.202,.301,.269,.570
35,2023,263,67,12,0,8,29,24,0,64,.255,.323,.392,.715
36,2012,192,57,7,1,8,36,31,1,39,.297,.394,.469,.863
37,2013,88,19,8,0,1,9,18,2,18,.216,.352,.341,.693
38,2014,377,85,19,1,15,49,58,1,115,.225,.327,.401,.728
39,2015,355,83,12,0,16,47,65,1,92,.234,.353,.403,.756
40,2016,390,89,14,1,27,72,64,1,116,.228,.339,.477,.816
41,2017,438,108,27,0,22,58,40,0,130,.247,.308,.459,.767
42,2018,440,106,23,2,24,68,72,1,124,.241,.349,.466,.815
43,2019,513,126,26,2,28,77,109,2,139,.246,.380,.468,.848
44,2020,161,37,7,0,8,27,30,0,58,.230,.351,.422,.773
45,2021,279,67,9,0,23,62,87,0,82,.240,.420,.520,.940
46,2022,327,66,7,0,5,27,45,1,79,.202,.301,.269,.570
47,2023,263,67,12,0,8,29,24,0,64,.255,.323,.392,.715
48,2012,192,57,7,1,8,36,31,1,39,.297,.394,.469,.863
49,2013,88,19,8,0,1,9,18,2,18,.216,.352,.341,.693
50,2014,377,85,19,1,15,49,58,1,115,.225,.327,.401,.728
51,2015,355,83,12,0,16,47,65,1,92,.234,.353,.403,.756
52,2016,390,89,14,1,27,72,64,1,116,.228,.339,.477,.816
53,2017,438,108,27,0,22,58,40,0,130,.247,.308,.459,.767
54,2018,440,106,23,2,24,68,72,1,124,.241,.349,.466,.815
55,2019,513,126,26,2,28,77,109,2,139,.246,.380,.468,.848
56,2020,161,37,7,0,8,27,30,0,58,.230,.351,.422,.773
57,2021,279,67,9,0,23,62,87,0,82,.240,.420,.520,.940
58,2022,327,66,7,0,5,27,45,1,79,.202,.301,.269,.570
59,2023,263,67,12,0,8,29,24,0,64,.255,.323,.392,.715
60,2012,192,57,7,1,8,36,31,1,39,.297,.394,.469,.863
61,2013,88,19,8,0,1,9,18,2,18,.216,.352,.341,.693
62,2014,377,85,19,1,15,49,58,1,115,.225,.327,.401,.728
63,2015,355,83,12,0,16,47,65,1,92,.234,.353,.403,.756
64,2016,390,89,14,1,27,72,64,1,116,.228,.339,.477,.816
65,2017,438,108,27,0,22,58,40,0,130,.247,.308,.459,.767
66,2018,440,106,23,2,24,68,72,1,124,.241,.349,.466,.815
