,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
1,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
2,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
3,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
4,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
5,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
6,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
7,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
8,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
9,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
10,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
11,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
12,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
13,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
14,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
15,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
16,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
17,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
18,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
19,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
20,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
21,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
22,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
23,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
24,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
25,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
26,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
27,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
28,2023,33,9,4,1,1,3,4,0,11,.273,.351,.545,.896
