,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,AJ Pollock,Seattle Mariners,Collin McHugh,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,AJ Pollock,Seattle Mariners,Jared Shuster,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,AJ Pollock,Seattle Mariners,Andrew Heaney,Texas Rangers,4,1,0,0,0,0,1,0,0,.250,.400,.250,.650
3,AJ Pollock,Seattle Mariners,Dane Dunning,Texas Rangers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,AJ Pollock,Seattle Mariners,Ian Kennedy,Texas Rangers,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
5,AJ Pollock,Seattle Mariners,John King,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,AJ Pollock,Seattle Mariners,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,AJ Pollock,Seattle Mariners,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,AJ Pollock,Seattle Mariners,Will Smith,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,AJ Pollock,Seattle Mariners,Jaime Barria,Los Angeles Angels,2,2,0,0,2,4,0,0,0,1.000,1.000,4.000,5.000
10,AJ Pollock,Seattle Mariners,Aaron Loup,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
11,AJ Pollock,Seattle Mariners,Patrick Sandoval,Los Angeles Angels,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
12,AJ Pollock,Seattle Mariners,Tucker Davidson,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,AJ Pollock,Seattle Mariners,Reid Detmers,Los Angeles Angels,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
14,AJ Pollock,Seattle Mariners,Shohei Ohtani,Los Angeles Angels,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
15,AJ Pollock,Seattle Mariners,Jose Quijada,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,AJ Pollock,Seattle Mariners,Jose Suarez,Los Angeles Angels,2,0,0,0,0,1,0,0,0,.000,.000,.000,.000
17,AJ Pollock,Seattle Mariners,Ryan Tepera,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,AJ Pollock,Seattle Mariners,Richard Bleier,Boston Red Sox,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
19,AJ Pollock,Seattle Mariners,Pablo Reyes,Boston Red Sox,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
20,AJ Pollock,Seattle Mariners,Ryan Sherriff,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,AJ Pollock,Seattle Mariners,Josh Winckowski,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,AJ Pollock,Seattle Mariners,Drew VerHagen,St. Louis Cardinals,1,1,1,0,0,2,0,0,0,1.000,1.000,2.000,3.000
23,AJ Pollock,Seattle Mariners,Miles Mikolas,St. Louis Cardinals,2,1,1,0,0,0,0,0,1,.500,.500,1.000,1.500
24,AJ Pollock,Seattle Mariners,Genesis Cabrera,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
25,AJ Pollock,Seattle Mariners,Jack Flaherty,St. Louis Cardinals,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
26,AJ Pollock,Seattle Mariners,Giovanny Gallegos,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
27,AJ Pollock,Seattle Mariners,Steven Matz,St. Louis Cardinals,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,AJ Pollock,Seattle Mariners,Chris Stratton,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
29,AJ Pollock,Seattle Mariners,Zack Thompson,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,AJ Pollock,Seattle Mariners,Trevor Richards,Toronto Blue Jays,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
31,AJ Pollock,Seattle Mariners,Yusei Kikuchi,Toronto Blue Jays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
32,AJ Pollock,Seattle Mariners,Zach Pop,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
33,AJ Pollock,Seattle Mariners,Erik Swanson,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
34,AJ Pollock,Seattle Mariners,Danny Coulombe,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
