,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Adley Rutschman,Baltimore Orioles,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,Adley Rutschman,Baltimore Orioles,Max Fried,Atlanta Braves,3,0,0,0,0,0,1,0,1,.000,.250,.000,.250
2,Adley Rutschman,Baltimore Orioles,Raisel Iglesias,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Adley Rutschman,Baltimore Orioles,Dylan Lee,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
4,Adley Rutschman,Baltimore Orioles,Collin McHugh,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
5,Adley Rutschman,Baltimore Orioles,Spencer Strider,Atlanta Braves,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Adley Rutschman,Baltimore Orioles,Michael Tonkin,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Adley Rutschman,Baltimore Orioles,Kirby Yates,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,Adley Rutschman,Baltimore Orioles,John King,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
9,Adley Rutschman,Baltimore Orioles,Jon Gray,Texas Rangers,5,3,0,0,1,1,1,0,0,.600,.667,1.200,1.867
10,Adley Rutschman,Baltimore Orioles,Cole Ragans,Texas Rangers,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
11,Adley Rutschman,Baltimore Orioles,Cody Bradford,Texas Rangers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
12,Adley Rutschman,Baltimore Orioles,Andrew Heaney,Texas Rangers,5,1,0,0,0,0,0,0,0,.200,.200,.200,.400
13,Adley Rutschman,Baltimore Orioles,Dane Dunning,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Adley Rutschman,Baltimore Orioles,Taylor Hearn,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Adley Rutschman,Baltimore Orioles,Jonathan Hernandez,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Adley Rutschman,Baltimore Orioles,Will Smith,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Adley Rutschman,Baltimore Orioles,Jacob deGrom,Texas Rangers,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
18,Adley Rutschman,Baltimore Orioles,Emmet Sheehan,Los Angeles Dodgers,2,1,0,0,1,1,1,0,0,.500,.667,2.000,2.667
19,Adley Rutschman,Baltimore Orioles,Michael Grove,Los Angeles Dodgers,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
