,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Akil Baddoo,Detroit Tigers,Nathan Eovaldi,Texas Rangers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
1,Akil Baddoo,Detroit Tigers,Dane Dunning,Texas Rangers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
2,Akil Baddoo,Detroit Tigers,Grant Anderson,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,Akil Baddoo,Detroit Tigers,Brock Burke,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Akil Baddoo,Detroit Tigers,Jose Leclerc,Texas Rangers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
5,Akil Baddoo,Detroit Tigers,Will Smith,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Akil Baddoo,Detroit Tigers,Ryan Brasier,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
7,Akil Baddoo,Detroit Tigers,Chris Martin,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
8,Akil Baddoo,Detroit Tigers,Kutter Crawford,Boston Red Sox,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
9,Akil Baddoo,Detroit Tigers,Tanner Houck,Boston Red Sox,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
10,Akil Baddoo,Detroit Tigers,Kenley Jansen,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,Akil Baddoo,Detroit Tigers,Kaleb Ort,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Akil Baddoo,Detroit Tigers,Giovanny Gallegos,St. Louis Cardinals,1,1,1,0,0,1,0,0,0,1.000,1.000,2.000,3.000
13,Akil Baddoo,Detroit Tigers,Adam Wainwright,St. Louis Cardinals,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
14,Akil Baddoo,Detroit Tigers,Chris Stratton,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Akil Baddoo,Detroit Tigers,Drew VerHagen,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Akil Baddoo,Detroit Tigers,Merrill Kelly,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Akil Baddoo,Detroit Tigers,Chris Bassitt,Toronto Blue Jays,4,1,0,0,0,0,1,0,1,.250,.400,.250,.650
18,Akil Baddoo,Detroit Tigers,Anthony Bass,Toronto Blue Jays,1,0,0,0,0,0,1,1,0,.000,.500,.000,.500
19,Akil Baddoo,Detroit Tigers,Bowden Francis,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Akil Baddoo,Detroit Tigers,Alek Manoah,Toronto Blue Jays,4,0,0,0,0,0,1,0,3,.000,.200,.000,.200
21,Akil Baddoo,Detroit Tigers,Trevor Richards,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Akil Baddoo,Detroit Tigers,Jordan Romano,Toronto Blue Jays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
23,Akil Baddoo,Detroit Tigers,Erik Swanson,Toronto Blue Jays,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
24,Akil Baddoo,Detroit Tigers,Mitch White,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Akil Baddoo,Detroit Tigers,DL Hall,Baltimore Orioles,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
26,Akil Baddoo,Detroit Tigers,Dean Kremer,Baltimore Orioles,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
27,Akil Baddoo,Detroit Tigers,Felix Bautista,Baltimore Orioles,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
28,Akil Baddoo,Detroit Tigers,Grayson Rodriguez,Baltimore Orioles,5,1,0,0,0,0,0,0,2,.200,.200,.200,.400
29,Akil Baddoo,Detroit Tigers,Bryan Baker,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
30,Akil Baddoo,Detroit Tigers,Mike Baumann,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Akil Baddoo,Detroit Tigers,Kyle Bradish,Baltimore Orioles,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
32,Akil Baddoo,Detroit Tigers,Yennier Cano,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
33,Akil Baddoo,Detroit Tigers,Kyle Gibson,Baltimore Orioles,2,0,0,0,0,0,2,0,1,.000,.500,.000,.500
34,Akil Baddoo,Detroit Tigers,Austin Voth,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,Akil Baddoo,Detroit Tigers,Craig Kimbrel,Philadelphia Phillies,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
36,Akil Baddoo,Detroit Tigers,Aaron Nola,Philadelphia Phillies,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
37,Akil Baddoo,Detroit Tigers,Taijuan Walker,Philadelphia Phillies,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Akil Baddoo,Detroit Tigers,Zack Wheeler,Philadelphia Phillies,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
39,Akil Baddoo,Detroit Tigers,Seth Lugo,San Diego Padres,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000
40,Akil Baddoo,Detroit Tigers,Joe Musgrove,San Diego Padres,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
