,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Alec Bohm,Philadelphia Phillies,Dylan Dodd,Atlanta Braves,2,1,0,0,1,2,0,0,0,.500,.500,2.000,2.500
1,Alec Bohm,Philadelphia Phillies,Jared Shuster,Atlanta Braves,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
2,Alec Bohm,Philadelphia Phillies,Kirby Yates,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
3,Alec Bohm,Philadelphia Phillies,Bryce Elder,Atlanta Braves,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
4,Alec Bohm,Philadelphia Phillies,Charlie Morton,Atlanta Braves,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
5,Alec Bohm,Philadelphia Phillies,Nick Anderson,Atlanta Braves,1,0,0,0,0,1,0,0,1,.000,.000,.000,.000
6,Alec Bohm,Philadelphia Phillies,Raisel Iglesias,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Alec Bohm,Philadelphia Phillies,Joe Jimenez,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,Alec Bohm,Philadelphia Phillies,Collin McHugh,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Alec Bohm,Philadelphia Phillies,Spencer Strider,Atlanta Braves,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
10,Alec Bohm,Philadelphia Phillies,Brock Burke,Texas Rangers,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
11,Alec Bohm,Philadelphia Phillies,Jacob deGrom,Texas Rangers,2,2,1,0,1,2,0,0,0,1.000,1.000,3.000,4.000
12,Alec Bohm,Philadelphia Phillies,Martin Perez,Texas Rangers,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
