,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Andrew Knizner,St. Louis Cardinals,Bryce Elder,Atlanta Braves,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,Andrew Knizner,St. Louis Cardinals,Tony Gonsolin,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Andrew Knizner,St. Louis Cardinals,Clayton Kershaw,Los Angeles Dodgers,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
3,Andrew Knizner,St. Louis Cardinals,Evan Phillips,Los Angeles Dodgers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
4,Andrew Knizner,St. Louis Cardinals,Chris Devenski,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Andrew Knizner,St. Louis Cardinals,Patrick Sandoval,Los Angeles Angels,2,0,0,0,0,1,0,0,1,.000,.000,.000,.000
6,Andrew Knizner,St. Louis Cardinals,Brennan Bernardino,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
7,Andrew Knizner,St. Louis Cardinals,Corey Kluber,Boston Red Sox,2,1,0,0,1,2,0,0,0,.500,.500,2.000,2.500
8,Andrew Knizner,St. Louis Cardinals,Richard Bleier,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Andrew Knizner,St. Louis Cardinals,Ryan Brasier,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Andrew Knizner,St. Louis Cardinals,James Paxton,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Andrew Knizner,St. Louis Cardinals,Chris Sale,Boston Red Sox,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Andrew Knizner,St. Louis Cardinals,Kevin Ginkel,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
13,Andrew Knizner,St. Louis Cardinals,Madison Bumgarner,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Andrew Knizner,St. Louis Cardinals,Jose Ruiz,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Andrew Knizner,St. Louis Cardinals,Peter Solomon,Arizona Diamondbacks,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
16,Andrew Knizner,St. Louis Cardinals,Alan Busenitz,Cincinnati Reds,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
17,Andrew Knizner,St. Louis Cardinals,Brandon Williamson,Cincinnati Reds,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
