,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Andrew Velazquez,Los Angeles Angels,Joe Barlow,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,Andrew Velazquez,Los Angeles Angels,Nathan Eovaldi,Texas Rangers,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
2,Andrew Velazquez,Los Angeles Angels,Clayton Kershaw,Los Angeles Dodgers,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
3,Andrew Velazquez,Los Angeles Angels,Tony Gonsolin,Los Angeles Dodgers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Andrew Velazquez,Los Angeles Angels,Victor Gonzalez,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Andrew Velazquez,Los Angeles Angels,Michael Grove,Los Angeles Dodgers,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
6,Andrew Velazquez,Los Angeles Angels,Bryan Hudson,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Andrew Velazquez,Los Angeles Angels,Alex Vesia,Los Angeles Dodgers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,Andrew Velazquez,Los Angeles Angels,Rafael Montero,Houston Astros,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
9,Andrew Velazquez,Los Angeles Angels,Luis Garcia,San Diego Padres,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
10,Andrew Velazquez,Los Angeles Angels,Seth Lugo,San Diego Padres,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
11,Andrew Velazquez,Los Angeles Angels,Nick Martinez,San Diego Padres,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Andrew Velazquez,Los Angeles Angels,Joe Musgrove,San Diego Padres,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Andrew Velazquez,Los Angeles Angels,Kyle Freeland,Colorado Rockies,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
14,Andrew Velazquez,Los Angeles Angels,Noah Davis,Colorado Rockies,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Andrew Velazquez,Los Angeles Angels,Pierce Johnson,Colorado Rockies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Andrew Velazquez,Los Angeles Angels,Karl Kauffmann,Colorado Rockies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Andrew Velazquez,Los Angeles Angels,Peter Lambert,Colorado Rockies,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
18,Andrew Velazquez,Los Angeles Angels,Ron Marinaccio,New York Yankees,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Andrew Velazquez,Los Angeles Angels,Yerry De Los Santos,Pittsburgh Pirates,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Andrew Velazquez,Los Angeles Angels,Lance Lynn,Chicago White Sox,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
21,Andrew Velazquez,Los Angeles Angels,Keynan Middleton,Chicago White Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
22,Andrew Velazquez,Los Angeles Angels,Zack Greinke,Kansas City Royals,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
23,Andrew Velazquez,Los Angeles Angels,Carlos Hernandez,Kansas City Royals,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
24,Andrew Velazquez,Los Angeles Angels,Mike Mayers,Kansas City Royals,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
25,Andrew Velazquez,Los Angeles Angels,Aroldis Chapman,Kansas City Royals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
26,Andrew Velazquez,Los Angeles Angels,Austin Cox,Kansas City Royals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
27,Andrew Velazquez,Los Angeles Angels,Jackson Kowar,Kansas City Royals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Andrew Velazquez,Los Angeles Angels,Brooks Kriske,Kansas City Royals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
29,Andrew Velazquez,Los Angeles Angels,Brady Singer,Kansas City Royals,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
