,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Bo Bichette,Toronto Blue Jays,A.J. Minter,Atlanta Braves,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
1,Bo Bichette,Toronto Blue Jays,Bryce Elder,Atlanta Braves,3,1,0,0,0,1,0,0,0,.333,.333,.333,.666
2,Bo Bichette,Toronto Blue Jays,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Bo Bichette,Toronto Blue Jays,Jesse Chavez,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
4,Bo Bichette,Toronto Blue Jays,Collin McHugh,Atlanta Braves,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
5,Bo Bichette,Toronto Blue Jays,Spencer Strider,Atlanta Braves,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
6,Bo Bichette,Toronto Blue Jays,Michael Tonkin,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Bo Bichette,Toronto Blue Jays,Danny Young,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Bo Bichette,Toronto Blue Jays,Jon Gray,Texas Rangers,1,1,1,0,0,2,1,0,0,1.000,1.000,2.000,3.000
9,Bo Bichette,Toronto Blue Jays,Dane Dunning,Texas Rangers,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
10,Bo Bichette,Toronto Blue Jays,Martin Perez,Texas Rangers,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
11,Bo Bichette,Toronto Blue Jays,Grant Anderson,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Bo Bichette,Toronto Blue Jays,Joe Barlow,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Bo Bichette,Toronto Blue Jays,John King,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Bo Bichette,Toronto Blue Jays,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Bo Bichette,Toronto Blue Jays,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Bo Bichette,Toronto Blue Jays,Tyler Anderson,Los Angeles Angels,2,2,0,0,1,2,1,0,0,1.000,1.000,2.500,3.500
17,Bo Bichette,Toronto Blue Jays,Jimmy Herget,Los Angeles Angels,1,1,0,0,1,3,0,0,0,1.000,1.000,4.000,5.000
18,Bo Bichette,Toronto Blue Jays,Ryan Tepera,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
19,Bo Bichette,Toronto Blue Jays,Reid Detmers,Los Angeles Angels,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
20,Bo Bichette,Toronto Blue Jays,Patrick Sandoval,Los Angeles Angels,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
21,Bo Bichette,Toronto Blue Jays,Jaime Barria,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Bo Bichette,Toronto Blue Jays,Carlos Estevez,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
23,Bo Bichette,Toronto Blue Jays,Jason Adam,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
24,Bo Bichette,Toronto Blue Jays,Yonny Chirinos,Tampa Bay Rays,2,2,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500
25,Bo Bichette,Toronto Blue Jays,Garrett Cleavinger,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
