,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Brendan Donovan,St. Louis Cardinals,Dylan Lee,Atlanta Braves,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
1,Brendan Donovan,St. Louis Cardinals,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,Brendan Donovan,St. Louis Cardinals,Bryce Elder,Atlanta Braves,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
3,Brendan Donovan,St. Louis Cardinals,Collin McHugh,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Brendan Donovan,St. Louis Cardinals,Charlie Morton,Atlanta Braves,3,0,0,0,0,1,0,0,1,.000,.000,.000,.000
5,Brendan Donovan,St. Louis Cardinals,Dane Dunning,Texas Rangers,3,2,0,0,0,0,0,0,0,.667,.667,.667,1.334
6,Brendan Donovan,St. Louis Cardinals,Jon Gray,Texas Rangers,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Brendan Donovan,St. Louis Cardinals,Martin Perez,Texas Rangers,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
8,Brendan Donovan,St. Louis Cardinals,Cole Ragans,Texas Rangers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
9,Brendan Donovan,St. Louis Cardinals,Will Smith,Texas Rangers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Brendan Donovan,St. Louis Cardinals,Victor Gonzalez,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
11,Brendan Donovan,St. Louis Cardinals,Clayton Kershaw,Los Angeles Dodgers,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
12,Brendan Donovan,St. Louis Cardinals,Alex Vesia,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
13,Brendan Donovan,St. Louis Cardinals,Dustin May,Los Angeles Dodgers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
14,Brendan Donovan,St. Louis Cardinals,Noah Syndergaard,Los Angeles Dodgers,4,1,0,0,0,1,0,0,1,.250,.250,.250,.500
15,Brendan Donovan,St. Louis Cardinals,Justin Bruihl,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Brendan Donovan,St. Louis Cardinals,Tyler Cyr,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Brendan Donovan,St. Louis Cardinals,Tony Gonsolin,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Brendan Donovan,St. Louis Cardinals,Andre Jackson,Los Angeles Dodgers,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
19,Brendan Donovan,St. Louis Cardinals,Shelby Miller,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Brendan Donovan,St. Louis Cardinals,Evan Phillips,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
