,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Enrique Hernandez,Boston Red Sox,Collin McHugh,Atlanta Braves,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
1,Enrique Hernandez,Boston Red Sox,A.J. Minter,Atlanta Braves,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
2,Enrique Hernandez,Boston Red Sox,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Enrique Hernandez,Boston Red Sox,Jesse Chavez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Enrique Hernandez,Boston Red Sox,Dylan Lee,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Enrique Hernandez,Boston Red Sox,Charlie Morton,Atlanta Braves,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
6,Enrique Hernandez,Boston Red Sox,Grant Anderson,Texas Rangers,1,1,0,0,0,2,0,0,0,1.000,1.000,1.000,2.000
7,Enrique Hernandez,Boston Red Sox,Nathan Eovaldi,Texas Rangers,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
8,Enrique Hernandez,Boston Red Sox,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Enrique Hernandez,Boston Red Sox,Jimmy Herget,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
10,Enrique Hernandez,Boston Red Sox,Jose Quijada,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
11,Enrique Hernandez,Boston Red Sox,Ryan Tepera,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
12,Enrique Hernandez,Boston Red Sox,Patrick Sandoval,Los Angeles Angels,2,1,1,0,0,1,0,0,0,.500,.500,1.000,1.500
13,Enrique Hernandez,Boston Red Sox,Reid Detmers,Los Angeles Angels,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
14,Enrique Hernandez,Boston Red Sox,Tyler Anderson,Los Angeles Angels,4,1,1,0,0,1,1,0,0,.250,.400,.500,.900
15,Enrique Hernandez,Boston Red Sox,Griffin Canning,Los Angeles Angels,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
16,Enrique Hernandez,Boston Red Sox,Tucker Davidson,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Enrique Hernandez,Boston Red Sox,Chris Devenski,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Enrique Hernandez,Boston Red Sox,Aaron Loup,Los Angeles Angels,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
19,Enrique Hernandez,Boston Red Sox,Matt Moore,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Enrique Hernandez,Boston Red Sox,Shohei Ohtani,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,Enrique Hernandez,Boston Red Sox,Jalen Beeks,Tampa Bay Rays,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
22,Enrique Hernandez,Boston Red Sox,Ryan Thompson,Tampa Bay Rays,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
23,Enrique Hernandez,Boston Red Sox,Taj Bradley,Tampa Bay Rays,4,1,1,0,0,1,0,0,2,.250,.250,.500,.750
24,Enrique Hernandez,Boston Red Sox,Jason Adam,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
25,Enrique Hernandez,Boston Red Sox,Shawn Armstrong,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
