,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Eric Haase,Detroit Tigers,Nick Anderson,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Eric Haase,Detroit Tigers,Raisel Iglesias,Atlanta Braves,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
2,Eric Haase,Detroit Tigers,Spencer Strider,Atlanta Braves,2,1,0,0,1,1,0,0,1,.500,.500,2.000,2.500
3,Eric Haase,Detroit Tigers,A.J. Minter,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Eric Haase,Detroit Tigers,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Eric Haase,Detroit Tigers,Andrew Heaney,Texas Rangers,3,1,0,1,0,0,0,0,0,.333,.333,1.000,1.333
6,Eric Haase,Detroit Tigers,Grant Anderson,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Eric Haase,Detroit Tigers,Brock Burke,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Eric Haase,Detroit Tigers,Dane Dunning,Texas Rangers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Eric Haase,Detroit Tigers,Nathan Eovaldi,Texas Rangers,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
10,Eric Haase,Detroit Tigers,Jonathan Hernandez,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Eric Haase,Detroit Tigers,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Eric Haase,Detroit Tigers,Martin Perez,Texas Rangers,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
13,Eric Haase,Detroit Tigers,Yerry Rodriguez,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Eric Haase,Detroit Tigers,Jason Adam,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Eric Haase,Detroit Tigers,Zach Eflin,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Eric Haase,Detroit Tigers,Calvin Faucher,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Eric Haase,Detroit Tigers,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Eric Haase,Detroit Tigers,Shane McClanahan,Tampa Bay Rays,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
