,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Francisco Lindor,New York Mets,Bryce Elder,Atlanta Braves,2,1,0,0,1,2,1,0,0,.500,.667,2.000,2.667
1,Francisco Lindor,New York Mets,Spencer Strider,Atlanta Braves,4,2,0,0,0,1,2,0,1,.500,.667,.500,1.167
2,Francisco Lindor,New York Mets,Michael Tonkin,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
3,Francisco Lindor,New York Mets,Charlie Morton,Atlanta Braves,5,1,1,0,0,0,1,0,2,.200,.333,.400,.733
4,Francisco Lindor,New York Mets,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Francisco Lindor,New York Mets,Jesse Chavez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Francisco Lindor,New York Mets,Max Fried,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Francisco Lindor,New York Mets,Collin McHugh,Atlanta Braves,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
8,Francisco Lindor,New York Mets,A.J. Minter,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Francisco Lindor,New York Mets,Kirby Yates,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
10,Francisco Lindor,New York Mets,Yency Almonte,Los Angeles Dodgers,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
11,Francisco Lindor,New York Mets,Clayton Kershaw,Los Angeles Dodgers,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
12,Francisco Lindor,New York Mets,Phil Bickford,Los Angeles Dodgers,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
13,Francisco Lindor,New York Mets,Ryan Brasier,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Francisco Lindor,New York Mets,Tony Gonsolin,Los Angeles Dodgers,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
15,Francisco Lindor,New York Mets,Brusdar Graterol,Los Angeles Dodgers,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
16,Francisco Lindor,New York Mets,Dustin May,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.333,.000,.333
17,Francisco Lindor,New York Mets,Shelby Miller,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Francisco Lindor,New York Mets,Bobby Miller,Los Angeles Dodgers,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
19,Francisco Lindor,New York Mets,Evan Phillips,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Francisco Lindor,New York Mets,Noah Syndergaard,Los Angeles Dodgers,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
21,Francisco Lindor,New York Mets,Julio Urias,Los Angeles Dodgers,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
22,Francisco Lindor,New York Mets,Alex Vesia,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,Francisco Lindor,New York Mets,Kevin Kelly,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
24,Francisco Lindor,New York Mets,Jalen Beeks,Tampa Bay Rays,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
25,Francisco Lindor,New York Mets,Josh Fleming,Tampa Bay Rays,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
26,Francisco Lindor,New York Mets,Taj Bradley,Tampa Bay Rays,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
27,Francisco Lindor,New York Mets,Yonny Chirinos,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Francisco Lindor,New York Mets,Pete Fairbanks,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
29,Francisco Lindor,New York Mets,Zack Littell,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
30,Francisco Lindor,New York Mets,Colin Poche,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
31,Francisco Lindor,New York Mets,Chris Murphy,Boston Red Sox,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
32,Francisco Lindor,New York Mets,James Paxton,Boston Red Sox,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
33,Francisco Lindor,New York Mets,Brennan Bernardino,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
34,Francisco Lindor,New York Mets,Richard Bleier,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,Francisco Lindor,New York Mets,Kutter Crawford,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
36,Francisco Lindor,New York Mets,Justin Garza,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,Francisco Lindor,New York Mets,Joe Jacques,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
38,Francisco Lindor,New York Mets,Chris Martin,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
39,Francisco Lindor,New York Mets,Matthew Liberatore,St. Louis Cardinals,2,1,0,0,1,1,0,0,0,.500,.500,2.000,2.500
40,Francisco Lindor,New York Mets,Jordan Hicks,St. Louis Cardinals,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
41,Francisco Lindor,New York Mets,Miles Mikolas,St. Louis Cardinals,2,0,0,0,0,1,0,0,1,.000,.000,.000,.000
42,Francisco Lindor,New York Mets,Andre Pallante,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
43,Francisco Lindor,New York Mets,Chris Stratton,St. Louis Cardinals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
44,Francisco Lindor,New York Mets,Drew VerHagen,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
45,Francisco Lindor,New York Mets,Austin Adams,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
46,Francisco Lindor,New York Mets,Drey Jameson,Arizona Diamondbacks,2,2,0,0,1,1,0,0,0,1.000,1.000,2.500,3.500
47,Francisco Lindor,New York Mets,Ryne Nelson,Arizona Diamondbacks,2,2,0,2,0,0,0,0,0,1.000,1.000,3.000,4.000
