,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Gary Sanchez,San Diego Padres,Sam Bachman,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,Gary Sanchez,San Diego Padres,Jaime Barria,Los Angeles Angels,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Gary Sanchez,San Diego Padres,Tucker Davidson,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Gary Sanchez,San Diego Padres,Aaron Loup,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Gary Sanchez,San Diego Padres,Shohei Ohtani,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Gary Sanchez,San Diego Padres,Gerardo Reyes,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Gary Sanchez,San Diego Padres,Patrick Sandoval,Los Angeles Angels,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Gary Sanchez,San Diego Padres,Jose Soriano,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,Gary Sanchez,San Diego Padres,Jacob Webb,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Gary Sanchez,San Diego Padres,Jake Diekman,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Gary Sanchez,San Diego Padres,Zach Eflin,Tampa Bay Rays,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Gary Sanchez,San Diego Padres,Zack Littell,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Gary Sanchez,San Diego Padres,Shane McClanahan,Tampa Bay Rays,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
13,Gary Sanchez,San Diego Padres,Alex Young,Cincinnati Reds,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
14,Gary Sanchez,San Diego Padres,Graham Ashcraft,Cincinnati Reds,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
15,Gary Sanchez,San Diego Padres,Alexis Diaz,Cincinnati Reds,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
16,Gary Sanchez,San Diego Padres,Andrew Abbott,Cincinnati Reds,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
17,Gary Sanchez,San Diego Padres,Nate Pearson,Toronto Blue Jays,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
18,Gary Sanchez,San Diego Padres,Jordan Romano,Toronto Blue Jays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
19,Gary Sanchez,San Diego Padres,Chris Bassitt,Toronto Blue Jays,2,0,0,0,0,0,0,0,0,.000,.333,.000,.333
20,Gary Sanchez,San Diego Padres,Jay Jackson,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Gary Sanchez,San Diego Padres,Alek Manoah,Toronto Blue Jays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Gary Sanchez,San Diego Padres,Mitch White,Toronto Blue Jays,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
23,Gary Sanchez,San Diego Padres,Cristopher Sanchez,Philadelphia Phillies,2,1,0,0,1,1,0,0,0,.500,.500,2.000,2.500
24,Gary Sanchez,San Diego Padres,Dylan Covey,Philadelphia Phillies,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
25,Gary Sanchez,San Diego Padres,Jeff Hoffman,Philadelphia Phillies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,Gary Sanchez,San Diego Padres,Yunior Marte,Philadelphia Phillies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Gary Sanchez,San Diego Padres,Matt Strahm,Philadelphia Phillies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Gary Sanchez,San Diego Padres,Ranger Suarez,Philadelphia Phillies,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
29,Gary Sanchez,San Diego Padres,Andrew Vasquez,Philadelphia Phillies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Gary Sanchez,San Diego Padres,Zack Wheeler,Philadelphia Phillies,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
31,Gary Sanchez,San Diego Padres,Kyle Hendricks,Chicago Cubs,3,1,0,0,1,2,0,0,1,.333,.333,1.333,1.666
32,Gary Sanchez,San Diego Padres,Drew Smyly,Chicago Cubs,5,1,0,0,0,0,0,0,0,.200,.200,.200,.400
33,Gary Sanchez,San Diego Padres,Javier Assad,Chicago Cubs,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
34,Gary Sanchez,San Diego Padres,Michael Fulmer,Chicago Cubs,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
35,Gary Sanchez,San Diego Padres,Brandon Hughes,Chicago Cubs,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,Gary Sanchez,San Diego Padres,Julian Merryweather,Chicago Cubs,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
37,Gary Sanchez,San Diego Padres,Jameson Taillon,Chicago Cubs,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Gary Sanchez,San Diego Padres,Josiah Gray,Washington Nationals,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
39,Gary Sanchez,San Diego Padres,Patrick Corbin,Washington Nationals,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
