,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,George Springer,Toronto Blue Jays,A.J. Minter,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,George Springer,Toronto Blue Jays,Michael Tonkin,Atlanta Braves,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
2,George Springer,Toronto Blue Jays,Collin McHugh,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
3,George Springer,Toronto Blue Jays,Spencer Strider,Atlanta Braves,3,1,0,0,0,1,0,0,2,.333,.333,.333,.666
4,George Springer,Toronto Blue Jays,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,George Springer,Toronto Blue Jays,Jesse Chavez,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,George Springer,Toronto Blue Jays,Bryce Elder,Atlanta Braves,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,George Springer,Toronto Blue Jays,Danny Young,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
8,George Springer,Toronto Blue Jays,Jon Gray,Texas Rangers,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
9,George Springer,Toronto Blue Jays,Dane Dunning,Texas Rangers,3,2,0,0,0,0,0,0,0,.667,.667,.667,1.334
10,George Springer,Toronto Blue Jays,Grant Anderson,Texas Rangers,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
11,George Springer,Toronto Blue Jays,John King,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,George Springer,Toronto Blue Jays,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,George Springer,Toronto Blue Jays,Martin Perez,Texas Rangers,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
14,George Springer,Toronto Blue Jays,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,George Springer,Toronto Blue Jays,Jimmy Herget,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
16,George Springer,Toronto Blue Jays,Tyler Anderson,Los Angeles Angels,3,2,0,0,1,1,0,0,0,.667,.667,1.667,2.334
17,George Springer,Toronto Blue Jays,Carlos Estevez,Los Angeles Angels,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
18,George Springer,Toronto Blue Jays,Reid Detmers,Los Angeles Angels,2,0,0,0,0,0,1,0,2,.000,.333,.000,.333
19,George Springer,Toronto Blue Jays,Aaron Loup,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,George Springer,Toronto Blue Jays,Patrick Sandoval,Los Angeles Angels,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,George Springer,Toronto Blue Jays,Ryan Tepera,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,George Springer,Toronto Blue Jays,Andrew Wantz,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,George Springer,Toronto Blue Jays,Taj Bradley,Tampa Bay Rays,3,3,0,0,1,2,0,0,0,1.000,1.000,2.000,3.000
24,George Springer,Toronto Blue Jays,Zack Burdi,Tampa Bay Rays,1,1,0,1,0,0,0,0,0,1.000,1.000,3.000,4.000
25,George Springer,Toronto Blue Jays,Drew Rasmussen,Tampa Bay Rays,2,1,0,0,1,1,1,0,0,.500,.667,2.000,2.667
26,George Springer,Toronto Blue Jays,Josh Fleming,Tampa Bay Rays,3,1,0,0,0,1,2,0,0,.333,.600,.333,.933
27,George Springer,Toronto Blue Jays,Jason Adam,Tampa Bay Rays,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
28,George Springer,Toronto Blue Jays,Yonny Chirinos,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
29,George Springer,Toronto Blue Jays,Garrett Cleavinger,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,George Springer,Toronto Blue Jays,Jake Diekman,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
31,George Springer,Toronto Blue Jays,Pete Fairbanks,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
32,George Springer,Toronto Blue Jays,Calvin Faucher,Tampa Bay Rays,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
33,George Springer,Toronto Blue Jays,Trevor Kelley,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
34,George Springer,Toronto Blue Jays,Shane McClanahan,Tampa Bay Rays,5,0,0,0,0,0,1,0,1,.000,.167,.000,.167
35,George Springer,Toronto Blue Jays,Colin Poche,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,George Springer,Toronto Blue Jays,Ryan Brasier,Boston Red Sox,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
37,George Springer,Toronto Blue Jays,Kenley Jansen,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
38,George Springer,Toronto Blue Jays,Kutter Crawford,Boston Red Sox,4,2,0,0,1,1,0,0,0,.500,.500,1.250,1.750
39,George Springer,Toronto Blue Jays,Kaleb Ort,Boston Red Sox,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
40,George Springer,Toronto Blue Jays,Nick Pivetta,Boston Red Sox,5,1,0,0,0,0,0,0,2,.200,.200,.200,.400
41,George Springer,Toronto Blue Jays,Brayan Bello,Boston Red Sox,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
42,George Springer,Toronto Blue Jays,Brennan Bernardino,Boston Red Sox,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
43,George Springer,Toronto Blue Jays,Tanner Houck,Boston Red Sox,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
44,George Springer,Toronto Blue Jays,James Paxton,Boston Red Sox,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
45,George Springer,Toronto Blue Jays,John Schreiber,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
46,George Springer,Toronto Blue Jays,Garrett Whitlock,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
47,George Springer,Toronto Blue Jays,Josh Winckowski,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
48,George Springer,Toronto Blue Jays,Jordan Hicks,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
49,George Springer,Toronto Blue Jays,Miles Mikolas,St. Louis Cardinals,3,3,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
50,George Springer,Toronto Blue Jays,Ryan Helsley,St. Louis Cardinals,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
51,George Springer,Toronto Blue Jays,Jack Flaherty,St. Louis Cardinals,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
52,George Springer,Toronto Blue Jays,Jordan Montgomery,St. Louis Cardinals,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
53,George Springer,Toronto Blue Jays,Packy Naughton,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
54,George Springer,Toronto Blue Jays,Andre Pallante,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
55,George Springer,Toronto Blue Jays,Chris Stratton,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
