,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Harold Castro,Colorado Rockies,Joe Jimenez,Atlanta Braves,1,1,1,0,0,1,0,0,0,1.000,1.000,2.000,3.000
1,Harold Castro,Colorado Rockies,Bryce Elder,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
2,Harold Castro,Colorado Rockies,Charlie Morton,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
3,Harold Castro,Colorado Rockies,Raisel Iglesias,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Harold Castro,Colorado Rockies,Collin McHugh,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Harold Castro,Colorado Rockies,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Harold Castro,Colorado Rockies,John King,Texas Rangers,1,1,1,0,0,1,0,0,0,1.000,1.000,2.000,3.000
7,Harold Castro,Colorado Rockies,Jon Gray,Texas Rangers,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
8,Harold Castro,Colorado Rockies,Cole Ragans,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Harold Castro,Colorado Rockies,Yency Almonte,Los Angeles Dodgers,1,1,0,0,0,2,0,0,0,1.000,1.000,1.000,2.000
10,Harold Castro,Colorado Rockies,Michael Grove,Los Angeles Dodgers,3,1,0,0,0,1,0,0,0,.333,.333,.333,.666
11,Harold Castro,Colorado Rockies,Phil Bickford,Los Angeles Dodgers,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
12,Harold Castro,Colorado Rockies,Victor Gonzalez,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Harold Castro,Colorado Rockies,Shelby Miller,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Harold Castro,Colorado Rockies,Emmet Sheehan,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Harold Castro,Colorado Rockies,Sam Bachman,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
16,Harold Castro,Colorado Rockies,Griffin Canning,Los Angeles Angels,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
17,Harold Castro,Colorado Rockies,Tucker Davidson,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Harold Castro,Colorado Rockies,Kolton Ingram,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Harold Castro,Colorado Rockies,Jose Soriano,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Harold Castro,Colorado Rockies,Justin Garza,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
21,Harold Castro,Colorado Rockies,Garrett Whitlock,Boston Red Sox,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
22,Harold Castro,Colorado Rockies,Kutter Crawford,Boston Red Sox,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
23,Harold Castro,Colorado Rockies,Joe Jacques,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
24,Harold Castro,Colorado Rockies,Kenley Jansen,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
