,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Isaac Paredes,Tampa Bay Rays,Kolby Allard,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Isaac Paredes,Tampa Bay Rays,Bryce Elder,Atlanta Braves,2,1,0,0,1,2,0,0,0,.500,.500,2.000,2.500
2,Isaac Paredes,Tampa Bay Rays,Nick Anderson,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
3,Isaac Paredes,Tampa Bay Rays,Charlie Morton,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Isaac Paredes,Tampa Bay Rays,Michael Tonkin,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Isaac Paredes,Tampa Bay Rays,Andrew Heaney,Texas Rangers,2,2,1,0,1,4,0,0,0,1.000,1.000,3.000,4.000
6,Isaac Paredes,Tampa Bay Rays,Spencer Howard,Texas Rangers,1,1,0,0,1,2,0,0,0,1.000,1.000,4.000,5.000
7,Isaac Paredes,Tampa Bay Rays,Jon Gray,Texas Rangers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
8,Isaac Paredes,Tampa Bay Rays,Grant Anderson,Texas Rangers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Isaac Paredes,Tampa Bay Rays,Brock Burke,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Isaac Paredes,Tampa Bay Rays,Aroldis Chapman,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,Isaac Paredes,Tampa Bay Rays,Nathan Eovaldi,Texas Rangers,5,0,0,0,0,0,1,0,3,.000,.167,.000,.167
12,Isaac Paredes,Tampa Bay Rays,John King,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Isaac Paredes,Tampa Bay Rays,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Isaac Paredes,Tampa Bay Rays,Martin Perez,Texas Rangers,1,0,0,0,0,1,1,0,0,.000,.500,.000,.500
15,Isaac Paredes,Tampa Bay Rays,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Isaac Paredes,Tampa Bay Rays,Alex Speas,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Isaac Paredes,Tampa Bay Rays,Phil Bickford,Los Angeles Dodgers,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
18,Isaac Paredes,Tampa Bay Rays,Evan Phillips,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
19,Isaac Paredes,Tampa Bay Rays,Gavin Stone,Los Angeles Dodgers,2,2,1,0,0,3,0,0,0,1.000,1.000,1.500,2.500
20,Isaac Paredes,Tampa Bay Rays,Yency Almonte,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,Isaac Paredes,Tampa Bay Rays,Victor Gonzalez,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Isaac Paredes,Tampa Bay Rays,Clayton Kershaw,Los Angeles Dodgers,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
23,Isaac Paredes,Tampa Bay Rays,Brennan Bernardino,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
24,Isaac Paredes,Tampa Bay Rays,Richard Bleier,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
25,Isaac Paredes,Tampa Bay Rays,Josh Winckowski,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
26,Isaac Paredes,Tampa Bay Rays,Ryan Brasier,Boston Red Sox,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
27,Isaac Paredes,Tampa Bay Rays,Garrett Whitlock,Boston Red Sox,2,1,0,0,1,1,0,0,0,.500,.500,2.000,2.500
28,Isaac Paredes,Tampa Bay Rays,Brayan Bello,Boston Red Sox,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
29,Isaac Paredes,Tampa Bay Rays,Kutter Crawford,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Isaac Paredes,Tampa Bay Rays,Justin Garza,Boston Red Sox,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
31,Isaac Paredes,Tampa Bay Rays,Tanner Houck,Boston Red Sox,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
32,Isaac Paredes,Tampa Bay Rays,Kenley Jansen,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
33,Isaac Paredes,Tampa Bay Rays,Corey Kluber,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
34,Isaac Paredes,Tampa Bay Rays,Chris Martin,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,Isaac Paredes,Tampa Bay Rays,Kaleb Ort,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,Isaac Paredes,Tampa Bay Rays,Nick Pivetta,Boston Red Sox,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
37,Isaac Paredes,Tampa Bay Rays,Chris Sale,Boston Red Sox,2,0,0,0,0,0,1,0,2,.000,.333,.000,.333
38,Isaac Paredes,Tampa Bay Rays,Ryan Sherriff,Boston Red Sox,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
39,Isaac Paredes,Tampa Bay Rays,Zac Gallen,Arizona Diamondbacks,3,3,2,0,0,0,0,0,0,1.000,1.000,1.667,2.667
40,Isaac Paredes,Tampa Bay Rays,Brandon Pfaadt,Arizona Diamondbacks,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
41,Isaac Paredes,Tampa Bay Rays,Zach Davies,Arizona Diamondbacks,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
42,Isaac Paredes,Tampa Bay Rays,Kevin Ginkel,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
43,Isaac Paredes,Tampa Bay Rays,Drey Jameson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
44,Isaac Paredes,Tampa Bay Rays,Scott McGough,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
45,Isaac Paredes,Tampa Bay Rays,Kyle Nelson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
46,Isaac Paredes,Tampa Bay Rays,Hunter Greene,Cincinnati Reds,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
47,Isaac Paredes,Tampa Bay Rays,Levi Stoudt,Cincinnati Reds,2,1,1,0,0,1,0,0,0,.500,.500,1.000,1.500
48,Isaac Paredes,Tampa Bay Rays,Fernando Cruz,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
49,Isaac Paredes,Tampa Bay Rays,Alexis Diaz,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
50,Isaac Paredes,Tampa Bay Rays,Buck Farmer,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
51,Isaac Paredes,Tampa Bay Rays,Kevin Herget,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
52,Isaac Paredes,Tampa Bay Rays,Casey Legumina,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
53,Isaac Paredes,Tampa Bay Rays,Nick Lodolo,Cincinnati Reds,2,0,0,0,0,0,0,0,1,.000,.333,.000,.333
54,Isaac Paredes,Tampa Bay Rays,Lucas Sims,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
55,Isaac Paredes,Tampa Bay Rays,Jason Vosler,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
56,Isaac Paredes,Tampa Bay Rays,Alex Young,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
57,Isaac Paredes,Tampa Bay Rays,Chris Bassitt,Toronto Blue Jays,3,1,0,0,0,1,0,0,0,.333,.333,.333,.666
58,Isaac Paredes,Tampa Bay Rays,Jose Berrios,Toronto Blue Jays,5,1,0,0,1,1,0,0,1,.200,.200,.800,1.000
59,Isaac Paredes,Tampa Bay Rays,Yusei Kikuchi,Toronto Blue Jays,6,1,0,0,0,1,0,0,1,.167,.167,.167,.334
60,Isaac Paredes,Tampa Bay Rays,Anthony Bass,Toronto Blue Jays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
61,Isaac Paredes,Tampa Bay Rays,Adam Cimber,Toronto Blue Jays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
62,Isaac Paredes,Tampa Bay Rays,Thomas Hatch,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
63,Isaac Paredes,Tampa Bay Rays,Zach Pop,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
