,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,J.P. Crawford,Seattle Mariners,Jesse Chavez,Atlanta Braves,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,J.P. Crawford,Seattle Mariners,Michael Tonkin,Atlanta Braves,1,1,0,0,0,1,1,0,0,1.000,1.000,1.000,2.000
2,J.P. Crawford,Seattle Mariners,Bryce Elder,Atlanta Braves,3,2,1,0,0,0,0,0,0,.667,.667,1.000,1.667
3,J.P. Crawford,Seattle Mariners,Nick Anderson,Atlanta Braves,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,J.P. Crawford,Seattle Mariners,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,J.P. Crawford,Seattle Mariners,Lucas Luetge,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,J.P. Crawford,Seattle Mariners,Jared Shuster,Atlanta Braves,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,J.P. Crawford,Seattle Mariners,Dane Dunning,Texas Rangers,2,1,0,0,0,1,1,0,1,.500,.667,.500,1.167
8,J.P. Crawford,Seattle Mariners,Brock Burke,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,J.P. Crawford,Seattle Mariners,Jon Gray,Texas Rangers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,J.P. Crawford,Seattle Mariners,Andrew Heaney,Texas Rangers,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
11,J.P. Crawford,Seattle Mariners,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,J.P. Crawford,Seattle Mariners,Will Smith,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,J.P. Crawford,Seattle Mariners,Tucker Davidson,Los Angeles Angels,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
14,J.P. Crawford,Seattle Mariners,Jimmy Herget,Los Angeles Angels,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
