,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Jake Cronenworth,San Diego Padres,Kirby Yates,Atlanta Braves,1,1,1,0,0,0,1,0,0,1.000,1.000,2.000,3.000
1,Jake Cronenworth,San Diego Padres,Lucas Luetge,Atlanta Braves,2,1,0,0,1,1,0,0,0,.500,.500,2.000,2.500
2,Jake Cronenworth,San Diego Padres,Charlie Morton,Atlanta Braves,5,2,1,0,0,0,1,0,2,.400,.500,.600,1.100
3,Jake Cronenworth,San Diego Padres,Dylan Dodd,Atlanta Braves,3,1,1,0,0,0,0,0,2,.333,.333,.667,1.000
4,Jake Cronenworth,San Diego Padres,Jesse Chavez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Jake Cronenworth,San Diego Padres,Max Fried,Atlanta Braves,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Jake Cronenworth,San Diego Padres,Joe Jimenez,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
7,Jake Cronenworth,San Diego Padres,Dylan Lee,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,Jake Cronenworth,San Diego Padres,A.J. Minter,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Jake Cronenworth,San Diego Padres,Jared Shuster,Atlanta Braves,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
10,Jake Cronenworth,San Diego Padres,Spencer Strider,Atlanta Braves,3,0,0,0,0,0,1,0,0,.000,.250,.000,.250
11,Jake Cronenworth,San Diego Padres,Michael Tonkin,Atlanta Braves,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
12,Jake Cronenworth,San Diego Padres,Danny Young,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Jake Cronenworth,San Diego Padres,Clayton Kershaw,Los Angeles Dodgers,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
14,Jake Cronenworth,San Diego Padres,Dustin May,Los Angeles Dodgers,4,1,0,0,0,0,1,0,0,.250,.400,.250,.650
