,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Jarred Kelenic,Seattle Mariners,Michael Tonkin,Atlanta Braves,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Jarred Kelenic,Seattle Mariners,Bryce Elder,Atlanta Braves,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
2,Jarred Kelenic,Seattle Mariners,Jared Shuster,Atlanta Braves,2,1,0,0,1,1,0,0,1,.500,.500,2.000,2.500
3,Jarred Kelenic,Seattle Mariners,Jesse Chavez,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Jarred Kelenic,Seattle Mariners,Raisel Iglesias,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Jarred Kelenic,Seattle Mariners,Collin McHugh,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Jarred Kelenic,Seattle Mariners,A.J. Minter,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Jarred Kelenic,Seattle Mariners,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Jarred Kelenic,Seattle Mariners,Ian Kennedy,Texas Rangers,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
9,Jarred Kelenic,Seattle Mariners,Brock Burke,Texas Rangers,3,1,0,1,0,1,0,0,2,.333,.333,1.000,1.333
10,Jarred Kelenic,Seattle Mariners,Dane Dunning,Texas Rangers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
11,Jarred Kelenic,Seattle Mariners,Andrew Heaney,Texas Rangers,4,1,0,0,0,1,1,0,0,.250,.400,.250,.650
12,Jarred Kelenic,Seattle Mariners,Nathan Eovaldi,Texas Rangers,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
13,Jarred Kelenic,Seattle Mariners,Jon Gray,Texas Rangers,5,0,0,0,0,0,1,0,1,.000,.167,.000,.167
14,Jarred Kelenic,Seattle Mariners,John King,Texas Rangers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
15,Jarred Kelenic,Seattle Mariners,Cole Ragans,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Jarred Kelenic,Seattle Mariners,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Jarred Kelenic,Seattle Mariners,Gerardo Reyes,Los Angeles Angels,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
18,Jarred Kelenic,Seattle Mariners,Shohei Ohtani,Los Angeles Angels,5,2,0,0,1,2,0,0,2,.400,.400,1.000,1.400
19,Jarred Kelenic,Seattle Mariners,Sam Bachman,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
20,Jarred Kelenic,Seattle Mariners,Griffin Canning,Los Angeles Angels,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,Jarred Kelenic,Seattle Mariners,Tucker Davidson,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
22,Jarred Kelenic,Seattle Mariners,Patrick Sandoval,Los Angeles Angels,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
23,Jarred Kelenic,Seattle Mariners,Jose Soriano,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
24,Jarred Kelenic,Seattle Mariners,Shane McClanahan,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
25,Jarred Kelenic,Seattle Mariners,Tyler Glasnow,Tampa Bay Rays,3,2,1,0,0,1,0,0,0,.667,.667,1.000,1.667
26,Jarred Kelenic,Seattle Mariners,Taj Bradley,Tampa Bay Rays,2,1,1,0,0,1,0,0,1,.500,.500,1.000,1.500
27,Jarred Kelenic,Seattle Mariners,Jason Adam,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Jarred Kelenic,Seattle Mariners,Shawn Armstrong,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
29,Jarred Kelenic,Seattle Mariners,Jalen Beeks,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Jarred Kelenic,Seattle Mariners,Jake Diekman,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Jarred Kelenic,Seattle Mariners,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
32,Jarred Kelenic,Seattle Mariners,Richard Bleier,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
33,Jarred Kelenic,Seattle Mariners,Pablo Reyes,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
34,Jarred Kelenic,Seattle Mariners,Brayan Bello,Boston Red Sox,2,1,1,0,0,0,1,0,1,.500,.667,1.000,1.667
35,Jarred Kelenic,Seattle Mariners,Brennan Bernardino,Boston Red Sox,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
36,Jarred Kelenic,Seattle Mariners,Justin Garza,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,Jarred Kelenic,Seattle Mariners,Tanner Houck,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Jarred Kelenic,Seattle Mariners,Nick Pivetta,Boston Red Sox,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
39,Jarred Kelenic,Seattle Mariners,Joely Rodriguez,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
40,Jarred Kelenic,Seattle Mariners,Josh Winckowski,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
41,Jarred Kelenic,Seattle Mariners,Miles Mikolas,St. Louis Cardinals,2,2,1,0,1,1,0,0,0,1.000,1.000,3.000,4.000
42,Jarred Kelenic,Seattle Mariners,Steven Matz,St. Louis Cardinals,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
43,Jarred Kelenic,Seattle Mariners,Jack Flaherty,St. Louis Cardinals,3,1,0,0,1,1,0,0,1,.333,.333,1.333,1.666
