,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Jon Berti,Miami Marlins,Dylan Dodd,Atlanta Braves,4,2,0,0,0,0,0,0,0,.500,.500,.500,1.000
1,Jon Berti,Miami Marlins,Bryce Elder,Atlanta Braves,4,2,1,0,0,0,0,0,1,.500,.500,.750,1.250
2,Jon Berti,Miami Marlins,Collin McHugh,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
3,Jon Berti,Miami Marlins,A.J. Minter,Atlanta Braves,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
4,Jon Berti,Miami Marlins,Charlie Morton,Atlanta Braves,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
5,Jon Berti,Miami Marlins,Michael Soroka,Atlanta Braves,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
6,Jon Berti,Miami Marlins,Spencer Strider,Atlanta Braves,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
7,Jon Berti,Miami Marlins,Jesse Chavez,Atlanta Braves,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
8,Jon Berti,Miami Marlins,Michael Tonkin,Atlanta Braves,1,0,0,0,0,1,1,0,0,.000,.500,.000,.500
9,Jon Berti,Miami Marlins,Kyle Wright,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Jon Berti,Miami Marlins,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
11,Jon Berti,Miami Marlins,Reid Detmers,Los Angeles Angels,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
12,Jon Berti,Miami Marlins,Shohei Ohtani,Los Angeles Angels,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
13,Jon Berti,Miami Marlins,Jaime Barria,Los Angeles Angels,0,0,0,0,0,0,1,1,0,.000,1.000,.000,1.000
14,Jon Berti,Miami Marlins,Chris Devenski,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Jon Berti,Miami Marlins,Jacob Webb,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Jon Berti,Miami Marlins,Chris Martin,Boston Red Sox,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
17,Jon Berti,Miami Marlins,Brayan Bello,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Jon Berti,Miami Marlins,Justin Garza,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Jon Berti,Miami Marlins,Kenley Jansen,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Jon Berti,Miami Marlins,Jordan Hicks,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
21,Jon Berti,Miami Marlins,James Naile,St. Louis Cardinals,1,1,1,0,0,2,0,0,0,1.000,1.000,2.000,3.000
22,Jon Berti,Miami Marlins,Andre Pallante,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
23,Jon Berti,Miami Marlins,Chris Stratton,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
24,Jon Berti,Miami Marlins,Zack Thompson,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
25,Jon Berti,Miami Marlins,Jordan Montgomery,St. Louis Cardinals,2,1,0,1,0,0,0,0,0,.500,.500,1.500,2.000
26,Jon Berti,Miami Marlins,Dakota Hudson,St. Louis Cardinals,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
27,Jon Berti,Miami Marlins,Giovanny Gallegos,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Jon Berti,Miami Marlins,Steven Matz,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
29,Jon Berti,Miami Marlins,Ryan Tepera,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Jon Berti,Miami Marlins,Scott McGough,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
31,Jon Berti,Miami Marlins,Madison Bumgarner,Arizona Diamondbacks,3,2,1,0,0,2,0,0,0,.667,.667,1.000,1.667
32,Jon Berti,Miami Marlins,Brandon Pfaadt,Arizona Diamondbacks,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
33,Jon Berti,Miami Marlins,Ryne Nelson,Arizona Diamondbacks,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
34,Jon Berti,Miami Marlins,Miguel Castro,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,Jon Berti,Miami Marlins,Zac Gallen,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,Jon Berti,Miami Marlins,Kevin Ginkel,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,Jon Berti,Miami Marlins,Merrill Kelly,Arizona Diamondbacks,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
