,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Jonah Heim,Texas Rangers,Dylan Lee,Atlanta Braves,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
1,Jonah Heim,Texas Rangers,Charlie Morton,Atlanta Braves,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
2,Jonah Heim,Texas Rangers,Nick Anderson,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
3,Jonah Heim,Texas Rangers,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Jonah Heim,Texas Rangers,Jared Shuster,Atlanta Braves,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Jonah Heim,Texas Rangers,Spencer Strider,Atlanta Braves,2,0,0,0,0,0,1,0,2,.000,.333,.000,.333
6,Jonah Heim,Texas Rangers,Ryan Brasier,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Jonah Heim,Texas Rangers,Justin Bruihl,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Jonah Heim,Texas Rangers,Tony Gonsolin,Los Angeles Dodgers,1,0,0,0,0,1,0,0,1,.000,.000,.000,.000
9,Jonah Heim,Texas Rangers,Jacob Webb,Los Angeles Angels,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
10,Jonah Heim,Texas Rangers,Tyler Anderson,Los Angeles Angels,6,4,0,0,0,0,0,0,0,.667,.667,.667,1.334
11,Jonah Heim,Texas Rangers,Tucker Davidson,Los Angeles Angels,2,1,0,0,0,2,0,0,0,.500,.500,.500,1.000
12,Jonah Heim,Texas Rangers,Chris Devenski,Los Angeles Angels,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
13,Jonah Heim,Texas Rangers,Chase Silseth,Los Angeles Angels,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
14,Jonah Heim,Texas Rangers,Shohei Ohtani,Los Angeles Angels,3,1,0,0,0,1,0,0,0,.333,.333,.333,.666
15,Jonah Heim,Texas Rangers,Jaime Barria,Los Angeles Angels,4,1,1,0,0,0,0,0,1,.250,.250,.500,.750
16,Jonah Heim,Texas Rangers,Reid Detmers,Los Angeles Angels,4,1,0,0,0,1,1,0,2,.250,.400,.250,.650
17,Jonah Heim,Texas Rangers,Carlos Estevez,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Jonah Heim,Texas Rangers,Jimmy Herget,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Jonah Heim,Texas Rangers,Jose Soriano,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Jonah Heim,Texas Rangers,Jose Suarez,Los Angeles Angels,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
21,Jonah Heim,Texas Rangers,Ryan Tepera,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Jonah Heim,Texas Rangers,Andrew Wantz,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,Jonah Heim,Texas Rangers,Jalen Beeks,Tampa Bay Rays,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
24,Jonah Heim,Texas Rangers,Kevin Kelly,Tampa Bay Rays,2,1,0,0,1,3,0,0,1,.500,.500,2.000,2.500
25,Jonah Heim,Texas Rangers,Zack Littell,Tampa Bay Rays,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
26,Jonah Heim,Texas Rangers,Taj Bradley,Tampa Bay Rays,3,1,0,0,0,0,1,0,1,.333,.500,.333,.833
27,Jonah Heim,Texas Rangers,Jason Adam,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
28,Jonah Heim,Texas Rangers,Shawn Armstrong,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
29,Jonah Heim,Texas Rangers,Tyler Glasnow,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
30,Jonah Heim,Texas Rangers,Javy Guerra,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Jonah Heim,Texas Rangers,Jose Lopez,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
32,Jonah Heim,Texas Rangers,Shane McClanahan,Tampa Bay Rays,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
33,Jonah Heim,Texas Rangers,Robert Stephenson,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
34,Jonah Heim,Texas Rangers,Joe Jacques,Boston Red Sox,1,1,1,0,0,1,0,0,0,1.000,1.000,2.000,3.000
35,Jonah Heim,Texas Rangers,Kutter Crawford,Boston Red Sox,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
36,Jonah Heim,Texas Rangers,Brayan Bello,Boston Red Sox,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,Jonah Heim,Texas Rangers,Kenley Jansen,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Jonah Heim,Texas Rangers,Josh Winckowski,Boston Red Sox,0,0,0,0,0,0,1,1,0,.000,1.000,.000,1.000
39,Jonah Heim,Texas Rangers,Adam Wainwright,St. Louis Cardinals,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
40,Jonah Heim,Texas Rangers,Jack Flaherty,St. Louis Cardinals,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
41,Jonah Heim,Texas Rangers,Giovanny Gallegos,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
42,Jonah Heim,Texas Rangers,Ryan Helsley,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
43,Jonah Heim,Texas Rangers,Scott McGough,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
44,Jonah Heim,Texas Rangers,Brandon Pfaadt,Arizona Diamondbacks,2,1,0,0,1,1,0,0,1,.500,.500,2.000,2.500
45,Jonah Heim,Texas Rangers,Miguel Castro,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
46,Jonah Heim,Texas Rangers,Andrew Chafin,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
47,Jonah Heim,Texas Rangers,Zac Gallen,Arizona Diamondbacks,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
48,Jonah Heim,Texas Rangers,Kevin Ginkel,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
49,Jonah Heim,Texas Rangers,Jose Ruiz,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
50,Jonah Heim,Texas Rangers,Ian Gibaut,Cincinnati Reds,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
51,Jonah Heim,Texas Rangers,Graham Ashcraft,Cincinnati Reds,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
52,Jonah Heim,Texas Rangers,Alexis Diaz,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
53,Jonah Heim,Texas Rangers,Derek Law,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
54,Jonah Heim,Texas Rangers,Luke Weaver,Cincinnati Reds,3,0,0,0,0,1,0,0,0,.000,.000,.000,.000
55,Jonah Heim,Texas Rangers,Nate Pearson,Toronto Blue Jays,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
56,Jonah Heim,Texas Rangers,Trevor Richards,Toronto Blue Jays,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
57,Jonah Heim,Texas Rangers,Kevin Gausman,Toronto Blue Jays,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
58,Jonah Heim,Texas Rangers,Chris Bassitt,Toronto Blue Jays,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
59,Jonah Heim,Texas Rangers,Adam Cimber,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
60,Jonah Heim,Texas Rangers,Bowden Francis,Toronto Blue Jays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
61,Jonah Heim,Texas Rangers,Yimi Garcia,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
62,Jonah Heim,Texas Rangers,Jordan Romano,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
63,Jonah Heim,Texas Rangers,Mitch White,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
64,Jonah Heim,Texas Rangers,Yennier Cano,Baltimore Orioles,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
65,Jonah Heim,Texas Rangers,Dean Kremer,Baltimore Orioles,3,2,0,0,0,1,0,0,0,.667,.667,.667,1.334
66,Jonah Heim,Texas Rangers,Felix Bautista,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
67,Jonah Heim,Texas Rangers,Kyle Bradish,Baltimore Orioles,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
68,Jonah Heim,Texas Rangers,Mychal Givens,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
69,Jonah Heim,Texas Rangers,Grayson Rodriguez,Baltimore Orioles,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
70,Jonah Heim,Texas Rangers,Austin Voth,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
71,Jonah Heim,Texas Rangers,Tyler Wells,Baltimore Orioles,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
72,Jonah Heim,Texas Rangers,Connor Brogdon,Philadelphia Phillies,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
73,Jonah Heim,Texas Rangers,Aaron Nola,Philadelphia Phillies,2,1,1,0,0,2,0,0,0,.500,.500,1.000,1.500
74,Jonah Heim,Texas Rangers,Andrew Bellatti,Philadelphia Phillies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
75,Jonah Heim,Texas Rangers,Bailey Falter,Philadelphia Phillies,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
76,Jonah Heim,Texas Rangers,Javier Assad,Chicago Cubs,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
77,Jonah Heim,Texas Rangers,Jameson Taillon,Chicago Cubs,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
78,Jonah Heim,Texas Rangers,Justin Steele,Chicago Cubs,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
79,Jonah Heim,Texas Rangers,Brad Boxberger,Chicago Cubs,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
80,Jonah Heim,Texas Rangers,Seth Martinez,Houston Astros,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
81,Jonah Heim,Texas Rangers,Framber Valdez,Houston Astros,1,1,1,0,0,1,2,0,0,1.000,1.000,2.000,3.000
