,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Jonathan India,Cincinnati Reds,Ben Heller,Atlanta Braves,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
1,Jonathan India,Cincinnati Reds,Dylan Lee,Atlanta Braves,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
2,Jonathan India,Cincinnati Reds,Nick Anderson,Atlanta Braves,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
3,Jonathan India,Cincinnati Reds,Raisel Iglesias,Atlanta Braves,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
4,Jonathan India,Cincinnati Reds,Spencer Strider,Atlanta Braves,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
5,Jonathan India,Cincinnati Reds,Bryce Elder,Atlanta Braves,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
6,Jonathan India,Cincinnati Reds,Kyle Wright,Atlanta Braves,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
7,Jonathan India,Cincinnati Reds,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
8,Jonathan India,Cincinnati Reds,Lucas Luetge,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Jonathan India,Cincinnati Reds,Collin McHugh,Atlanta Braves,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
10,Jonathan India,Cincinnati Reds,A.J. Minter,Atlanta Braves,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
11,Jonathan India,Cincinnati Reds,Jared Shuster,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Jonathan India,Cincinnati Reds,AJ Smith-Shawver,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Jonathan India,Cincinnati Reds,Michael Tonkin,Atlanta Braves,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
14,Jonathan India,Cincinnati Reds,Ian Kennedy,Texas Rangers,1,1,0,0,0,2,0,0,0,1.000,1.000,1.000,2.000
15,Jonathan India,Cincinnati Reds,Nathan Eovaldi,Texas Rangers,2,1,1,0,0,0,1,0,0,.500,.667,1.000,1.667
16,Jonathan India,Cincinnati Reds,Dane Dunning,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Jonathan India,Cincinnati Reds,Jon Gray,Texas Rangers,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
18,Jonathan India,Cincinnati Reds,Jonathan Hernandez,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Jonathan India,Cincinnati Reds,Jose Leclerc,Texas Rangers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
20,Jonathan India,Cincinnati Reds,Martin Perez,Texas Rangers,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
21,Jonathan India,Cincinnati Reds,Josh Sborz,Texas Rangers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
22,Jonathan India,Cincinnati Reds,Yency Almonte,Los Angeles Dodgers,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
23,Jonathan India,Cincinnati Reds,Brusdar Graterol,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
24,Jonathan India,Cincinnati Reds,Tony Gonsolin,Los Angeles Dodgers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
25,Jonathan India,Cincinnati Reds,Clayton Kershaw,Los Angeles Dodgers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
26,Jonathan India,Cincinnati Reds,Evan Phillips,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Jonathan India,Cincinnati Reds,Tayler Scott,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Jonathan India,Cincinnati Reds,Noah Syndergaard,Los Angeles Dodgers,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
29,Jonathan India,Cincinnati Reds,Alex Vesia,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
30,Jonathan India,Cincinnati Reds,Jalen Beeks,Tampa Bay Rays,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
31,Jonathan India,Cincinnati Reds,Taj Bradley,Tampa Bay Rays,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
32,Jonathan India,Cincinnati Reds,Cooper Criswell,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
33,Jonathan India,Cincinnati Reds,Josh Fleming,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
34,Jonathan India,Cincinnati Reds,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,Jonathan India,Cincinnati Reds,Drew Rasmussen,Tampa Bay Rays,1,0,0,0,0,0,2,0,1,.000,.667,.000,.667
36,Jonathan India,Cincinnati Reds,Justin Garza,Boston Red Sox,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
37,Jonathan India,Cincinnati Reds,Brayan Bello,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Jonathan India,Cincinnati Reds,Kutter Crawford,Boston Red Sox,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
39,Jonathan India,Cincinnati Reds,Chris Martin,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
