,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Josh H. Smith,Texas Rangers,Spencer Strider,Atlanta Braves,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
1,Josh H. Smith,Texas Rangers,Charlie Morton,Atlanta Braves,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
2,Josh H. Smith,Texas Rangers,Jesse Chavez,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,Josh H. Smith,Texas Rangers,Raisel Iglesias,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Josh H. Smith,Texas Rangers,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Josh H. Smith,Texas Rangers,Danny Young,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Josh H. Smith,Texas Rangers,Phil Bickford,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Josh H. Smith,Texas Rangers,Jose Suarez,Los Angeles Angels,1,1,0,0,1,2,0,0,0,1.000,1.000,4.000,5.000
8,Josh H. Smith,Texas Rangers,Chris Devenski,Los Angeles Angels,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Josh H. Smith,Texas Rangers,Shohei Ohtani,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Josh H. Smith,Texas Rangers,Chase Silseth,Los Angeles Angels,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
11,Josh H. Smith,Texas Rangers,Jack Flaherty,St. Louis Cardinals,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
12,Josh H. Smith,Texas Rangers,Luke Weaver,Cincinnati Reds,3,1,0,0,1,1,0,0,1,.333,.333,1.333,1.666
13,Josh H. Smith,Texas Rangers,Graham Ashcraft,Cincinnati Reds,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Josh H. Smith,Texas Rangers,Reiver Sanmartin,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Josh H. Smith,Texas Rangers,Lucas Sims,Cincinnati Reds,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
16,Josh H. Smith,Texas Rangers,Alex Young,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Josh H. Smith,Texas Rangers,Ryan McKenna,Baltimore Orioles,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
18,Josh H. Smith,Texas Rangers,Grayson Rodriguez,Baltimore Orioles,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
