,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Lane Thomas,Washington Nationals,Spencer Strider,Atlanta Braves,2,2,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500
1,Lane Thomas,Washington Nationals,Jared Shuster,Atlanta Braves,6,4,1,1,0,2,0,0,0,.667,.667,1.167,1.834
2,Lane Thomas,Washington Nationals,Max Fried,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
3,Lane Thomas,Washington Nationals,AJ Smith-Shawver,Atlanta Braves,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
4,Lane Thomas,Washington Nationals,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Lane Thomas,Washington Nationals,Jesse Chavez,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Lane Thomas,Washington Nationals,Bryce Elder,Atlanta Braves,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Lane Thomas,Washington Nationals,Collin McHugh,Atlanta Braves,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
8,Lane Thomas,Washington Nationals,A.J. Minter,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Lane Thomas,Washington Nationals,Michael Tonkin,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Lane Thomas,Washington Nationals,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,Lane Thomas,Washington Nationals,Andrew Heaney,Texas Rangers,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
12,Lane Thomas,Washington Nationals,Dane Dunning,Texas Rangers,3,1,0,0,0,1,0,0,1,.333,.333,.333,.666
13,Lane Thomas,Washington Nationals,Grant Anderson,Texas Rangers,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
14,Lane Thomas,Washington Nationals,Cody Bradford,Texas Rangers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Lane Thomas,Washington Nationals,Aroldis Chapman,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Lane Thomas,Washington Nationals,Jose Leclerc,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Lane Thomas,Washington Nationals,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Lane Thomas,Washington Nationals,Alex Vesia,Los Angeles Dodgers,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
19,Lane Thomas,Washington Nationals,Justin Bruihl,Los Angeles Dodgers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
20,Lane Thomas,Washington Nationals,Tony Gonsolin,Los Angeles Dodgers,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
21,Lane Thomas,Washington Nationals,Caleb Ferguson,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Lane Thomas,Washington Nationals,Brusdar Graterol,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
23,Lane Thomas,Washington Nationals,Bobby Miller,Los Angeles Dodgers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Lane Thomas,Washington Nationals,Noah Syndergaard,Los Angeles Dodgers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Lane Thomas,Washington Nationals,Jose Suarez,Los Angeles Angels,3,1,0,0,0,1,0,0,1,.333,.333,.333,.666
26,Lane Thomas,Washington Nationals,Griffin Canning,Los Angeles Angels,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
27,Lane Thomas,Washington Nationals,Tucker Davidson,Los Angeles Angels,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Lane Thomas,Washington Nationals,Carlos Estevez,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
29,Lane Thomas,Washington Nationals,Jimmy Herget,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Lane Thomas,Washington Nationals,Aaron Loup,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Lane Thomas,Washington Nationals,Shohei Ohtani,Los Angeles Angels,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
32,Lane Thomas,Washington Nationals,Josh Fleming,Tampa Bay Rays,3,2,1,0,0,3,0,0,0,.667,.667,1.000,1.667
33,Lane Thomas,Washington Nationals,Kevin Kelly,Tampa Bay Rays,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
34,Lane Thomas,Washington Nationals,Garrett Cleavinger,Tampa Bay Rays,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
35,Lane Thomas,Washington Nationals,Calvin Faucher,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
36,Lane Thomas,Washington Nationals,Shane McClanahan,Tampa Bay Rays,1,0,0,0,0,0,2,0,1,.000,.667,.000,.667
37,Lane Thomas,Washington Nationals,Colin Poche,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
