,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Matt Wallner,Minnesota Twins,Chris Bassitt,Toronto Blue Jays,3,3,0,0,1,3,0,0,0,1.000,1.000,2.000,3.000
1,Matt Wallner,Minnesota Twins,Jose Berrios,Toronto Blue Jays,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
2,Matt Wallner,Minnesota Twins,Adam Cimber,Toronto Blue Jays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
3,Matt Wallner,Minnesota Twins,Jordan Romano,Toronto Blue Jays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
4,Matt Wallner,Minnesota Twins,Nate Pearson,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Matt Wallner,Minnesota Twins,Trevor Richards,Toronto Blue Jays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
6,Matt Wallner,Minnesota Twins,Bryan Abreu,Houston Astros,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Matt Wallner,Minnesota Twins,Hunter Brown,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
8,Matt Wallner,Minnesota Twins,Anthony DeSclafani,San Francisco Giants,3,1,1,0,0,1,0,0,0,.333,.333,.667,1.000
9,Matt Wallner,Minnesota Twins,Camilo Doval,San Francisco Giants,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
10,Matt Wallner,Minnesota Twins,Taylor Rogers,San Francisco Giants,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Matt Wallner,Minnesota Twins,George Kirby,Seattle Mariners,3,2,0,0,0,0,0,0,1,.667,.667,.667,1.334
12,Matt Wallner,Minnesota Twins,Isaiah Campbell,Seattle Mariners,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Matt Wallner,Minnesota Twins,Luis Castillo,Seattle Mariners,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
14,Matt Wallner,Minnesota Twins,Andres Munoz,Seattle Mariners,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Matt Wallner,Minnesota Twins,Paul Sewald,Seattle Mariners,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Matt Wallner,Minnesota Twins,Devin Sweet,Seattle Mariners,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Matt Wallner,Minnesota Twins,Bryan Woo,Seattle Mariners,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
18,Matt Wallner,Minnesota Twins,Lucas Giolito,Chicago White Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
19,Matt Wallner,Minnesota Twins,Joe Kelly,Chicago White Sox,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
20,Matt Wallner,Minnesota Twins,Bryan Shaw,Chicago White Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
21,Matt Wallner,Minnesota Twins,Aaron Bummer,Chicago White Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Matt Wallner,Minnesota Twins,Dylan Cease,Chicago White Sox,3,0,0,0,0,0,1,0,1,.000,.400,.000,.400
23,Matt Wallner,Minnesota Twins,Kendall Graveman,Chicago White Sox,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
24,Matt Wallner,Minnesota Twins,Reynaldo Lopez,Chicago White Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
25,Matt Wallner,Minnesota Twins,Lance Lynn,Chicago White Sox,5,0,0,0,0,0,1,0,3,.000,.167,.000,.167
26,Matt Wallner,Minnesota Twins,Keynan Middleton,Chicago White Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
