,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Michael Harris II,Atlanta Braves,Cole Ragans,Texas Rangers,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
1,Michael Harris II,Atlanta Braves,Cody Bradford,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Michael Harris II,Atlanta Braves,Brock Burke,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,Michael Harris II,Atlanta Braves,Dane Dunning,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Michael Harris II,Atlanta Braves,Nathan Eovaldi,Texas Rangers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Michael Harris II,Atlanta Braves,John King,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Michael Harris II,Atlanta Braves,Will Smith,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Michael Harris II,Atlanta Braves,Victor Gonzalez,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
8,Michael Harris II,Atlanta Braves,Caleb Ferguson,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Michael Harris II,Atlanta Braves,Tony Gonsolin,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Michael Harris II,Atlanta Braves,Brusdar Graterol,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,Michael Harris II,Atlanta Braves,Gavin Stone,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Michael Harris II,Atlanta Braves,Zack Littell,Tampa Bay Rays,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
13,Michael Harris II,Atlanta Braves,Taj Bradley,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Michael Harris II,Atlanta Braves,Jake Diekman,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Michael Harris II,Atlanta Braves,Zach Eflin,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Michael Harris II,Atlanta Braves,Tyler Glasnow,Tampa Bay Rays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Michael Harris II,Atlanta Braves,Javy Guerra,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Michael Harris II,Atlanta Braves,Elvin Rodriguez,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
19,Michael Harris II,Atlanta Braves,Brayan Bello,Boston Red Sox,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
20,Michael Harris II,Atlanta Braves,Brennan Bernardino,Boston Red Sox,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
21,Michael Harris II,Atlanta Braves,Zack Littell,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Michael Harris II,Atlanta Braves,Nick Pivetta,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
23,Michael Harris II,Atlanta Braves,Josh Winckowski,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
24,Michael Harris II,Atlanta Braves,Jake Woodford,St. Louis Cardinals,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
25,Michael Harris II,Atlanta Braves,Miles Mikolas,St. Louis Cardinals,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
26,Michael Harris II,Atlanta Braves,Jordan Hicks,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
27,Michael Harris II,Atlanta Braves,Steven Matz,St. Louis Cardinals,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Michael Harris II,Atlanta Braves,Packy Naughton,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
29,Michael Harris II,Atlanta Braves,Andre Pallante,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Michael Harris II,Atlanta Braves,Zack Thompson,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Michael Harris II,Atlanta Braves,Miguel Castro,Arizona Diamondbacks,1,1,1,0,0,0,1,0,0,1.000,1.000,2.000,3.000
32,Michael Harris II,Atlanta Braves,Zach Davies,Arizona Diamondbacks,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
33,Michael Harris II,Atlanta Braves,Drey Jameson,Arizona Diamondbacks,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
34,Michael Harris II,Atlanta Braves,Zac Gallen,Arizona Diamondbacks,4,1,1,0,0,0,0,0,1,.250,.250,.500,.750
35,Michael Harris II,Atlanta Braves,Ryne Nelson,Arizona Diamondbacks,4,1,0,1,0,0,0,0,1,.250,.250,.750,1.000
36,Michael Harris II,Atlanta Braves,Andrew Chafin,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
37,Michael Harris II,Atlanta Braves,Tyler Gilbert,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Michael Harris II,Atlanta Braves,Merrill Kelly,Arizona Diamondbacks,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
39,Michael Harris II,Atlanta Braves,Kyle Nelson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
40,Michael Harris II,Atlanta Braves,Jose Ruiz,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
41,Michael Harris II,Atlanta Braves,Levi Stoudt,Cincinnati Reds,1,1,0,1,0,0,0,0,0,1.000,1.000,3.000,4.000
42,Michael Harris II,Atlanta Braves,Luke Weaver,Cincinnati Reds,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
43,Michael Harris II,Atlanta Braves,Graham Ashcraft,Cincinnati Reds,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
44,Michael Harris II,Atlanta Braves,Silvino Bracho,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
45,Michael Harris II,Atlanta Braves,Fernando Cruz,Cincinnati Reds,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
46,Michael Harris II,Atlanta Braves,Daniel Duarte,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
47,Michael Harris II,Atlanta Braves,Ian Gibaut,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
48,Michael Harris II,Atlanta Braves,Lucas Sims,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
49,Michael Harris II,Atlanta Braves,Randy Wynne,Cincinnati Reds,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
50,Michael Harris II,Atlanta Braves,Alex Young,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
51,Michael Harris II,Atlanta Braves,Jose Berrios,Toronto Blue Jays,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
52,Michael Harris II,Atlanta Braves,Yusei Kikuchi,Toronto Blue Jays,2,1,0,0,0,1,0,0,1,.500,.500,.500,1.000
53,Michael Harris II,Atlanta Braves,Anthony Bass,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
54,Michael Harris II,Atlanta Braves,Chris Bassitt,Toronto Blue Jays,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
55,Michael Harris II,Atlanta Braves,Trevor Richards,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
