,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Miguel Andujar,Pittsburgh Pirates,Chase Anderson,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,Miguel Andujar,Pittsburgh Pirates,Shane McClanahan,Tampa Bay Rays,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,Miguel Andujar,Pittsburgh Pirates,Yusei Kikuchi,Toronto Blue Jays,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
3,Miguel Andujar,Pittsburgh Pirates,Chris Bassitt,Toronto Blue Jays,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Miguel Andujar,Pittsburgh Pirates,Jose Berrios,Toronto Blue Jays,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Miguel Andujar,Pittsburgh Pirates,Jay Jackson,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Miguel Andujar,Pittsburgh Pirates,Jordan Romano,Toronto Blue Jays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Miguel Andujar,Pittsburgh Pirates,Bryan Baker,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Miguel Andujar,Pittsburgh Pirates,Tyler Wells,Baltimore Orioles,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Miguel Andujar,Pittsburgh Pirates,Carl Edwards Jr.,Washington Nationals,1,1,0,0,1,2,0,0,0,1.000,1.000,4.000,5.000
10,Miguel Andujar,Pittsburgh Pirates,Hobie Harris,Washington Nationals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
11,Miguel Andujar,Pittsburgh Pirates,Lane Thomas,Washington Nationals,1,1,0,0,1,3,0,0,0,1.000,1.000,4.000,5.000
12,Miguel Andujar,Pittsburgh Pirates,Patrick Corbin,Washington Nationals,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
13,Miguel Andujar,Pittsburgh Pirates,Josiah Gray,Washington Nationals,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
14,Miguel Andujar,Pittsburgh Pirates,Andres Machado,Washington Nationals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Miguel Andujar,Pittsburgh Pirates,Thaddeus Ward,Washington Nationals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
16,Miguel Andujar,Pittsburgh Pirates,Brad Hand,Colorado Rockies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Miguel Andujar,Pittsburgh Pirates,Pierce Johnson,Colorado Rockies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Miguel Andujar,Pittsburgh Pirates,Nick Mears,Colorado Rockies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
