,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Miguel Vargas,Los Angeles Dodgers,Nick Anderson,Atlanta Braves,1,1,1,0,0,1,0,0,0,1.000,1.000,2.000,3.000
1,Miguel Vargas,Los Angeles Dodgers,Bryce Elder,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.667,.500,1.167
2,Miguel Vargas,Los Angeles Dodgers,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,Miguel Vargas,Los Angeles Dodgers,Charlie Morton,Atlanta Braves,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
4,Miguel Vargas,Los Angeles Dodgers,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Miguel Vargas,Los Angeles Dodgers,Aaron Loup,Los Angeles Angels,2,1,0,0,1,1,1,0,0,.500,.667,2.000,2.667
6,Miguel Vargas,Los Angeles Dodgers,Reid Detmers,Los Angeles Angels,4,0,0,0,0,0,0,0,0,.000,.200,.000,.200
7,Miguel Vargas,Los Angeles Dodgers,Shohei Ohtani,Los Angeles Angels,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000
8,Miguel Vargas,Los Angeles Dodgers,Jose Soriano,Los Angeles Angels,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
9,Miguel Vargas,Los Angeles Dodgers,Zack Weiss,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Miguel Vargas,Los Angeles Dodgers,Trevor Kelley,Tampa Bay Rays,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
11,Miguel Vargas,Los Angeles Dodgers,Jason Adam,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Miguel Vargas,Los Angeles Dodgers,Jalen Beeks,Tampa Bay Rays,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
13,Miguel Vargas,Los Angeles Dodgers,Cooper Criswell,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Miguel Vargas,Los Angeles Dodgers,Jake Diekman,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Miguel Vargas,Los Angeles Dodgers,Calvin Faucher,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
16,Miguel Vargas,Los Angeles Dodgers,Josh Fleming,Tampa Bay Rays,1,0,0,0,0,1,1,0,0,.000,.333,.000,.333
17,Miguel Vargas,Los Angeles Dodgers,Tyler Glasnow,Tampa Bay Rays,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
18,Miguel Vargas,Los Angeles Dodgers,Ryan Helsley,St. Louis Cardinals,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
19,Miguel Vargas,Los Angeles Dodgers,Steven Matz,St. Louis Cardinals,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
20,Miguel Vargas,Los Angeles Dodgers,Chris Stratton,St. Louis Cardinals,4,2,0,0,1,2,0,0,0,.500,.500,1.250,1.750
21,Miguel Vargas,Los Angeles Dodgers,Drew VerHagen,St. Louis Cardinals,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
22,Miguel Vargas,Los Angeles Dodgers,Jordan Montgomery,St. Louis Cardinals,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
23,Miguel Vargas,Los Angeles Dodgers,Adam Wainwright,St. Louis Cardinals,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
24,Miguel Vargas,Los Angeles Dodgers,Genesis Cabrera,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Miguel Vargas,Los Angeles Dodgers,Jack Flaherty,St. Louis Cardinals,5,0,0,0,0,0,0,0,3,.000,.000,.000,.000
26,Miguel Vargas,Los Angeles Dodgers,Giovanny Gallegos,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Miguel Vargas,Los Angeles Dodgers,Matthew Liberatore,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Miguel Vargas,Los Angeles Dodgers,Miles Mikolas,St. Louis Cardinals,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
29,Miguel Vargas,Los Angeles Dodgers,Andre Pallante,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Miguel Vargas,Los Angeles Dodgers,Jake Woodford,St. Louis Cardinals,2,0,0,0,0,1,0,0,0,.000,.000,.000,.000
31,Miguel Vargas,Los Angeles Dodgers,Merrill Kelly,Arizona Diamondbacks,1,1,1,0,0,0,1,0,0,1.000,1.000,2.000,3.000
32,Miguel Vargas,Los Angeles Dodgers,Peter Solomon,Arizona Diamondbacks,1,1,0,1,0,1,0,0,0,1.000,1.000,3.000,4.000
33,Miguel Vargas,Los Angeles Dodgers,Madison Bumgarner,Arizona Diamondbacks,3,1,0,0,0,0,2,0,1,.333,.600,.333,.933
