,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Patrick Bailey,San Francisco Giants,Nick Robertson,Los Angeles Dodgers,1,1,1,0,0,2,0,0,0,1.000,1.000,2.000,3.000
1,Patrick Bailey,San Francisco Giants,Caleb Ferguson,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Patrick Bailey,San Francisco Giants,Brusdar Graterol,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Patrick Bailey,San Francisco Giants,Bryan Hudson,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,Patrick Bailey,San Francisco Giants,Bobby Miller,Los Angeles Dodgers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,Patrick Bailey,San Francisco Giants,Tayler Scott,Los Angeles Dodgers,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
6,Patrick Bailey,San Francisco Giants,Emmet Sheehan,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Patrick Bailey,San Francisco Giants,Genesis Cabrera,St. Louis Cardinals,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
8,Patrick Bailey,San Francisco Giants,Chris Stratton,St. Louis Cardinals,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
9,Patrick Bailey,San Francisco Giants,Jordan Montgomery,St. Louis Cardinals,3,2,0,0,0,1,0,0,1,.667,.667,.667,1.334
10,Patrick Bailey,San Francisco Giants,Matthew Liberatore,St. Louis Cardinals,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
11,Patrick Bailey,San Francisco Giants,Jack Flaherty,St. Louis Cardinals,3,1,0,0,0,1,0,0,0,.333,.333,.333,.666
12,Patrick Bailey,San Francisco Giants,Jordan Hicks,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Patrick Bailey,San Francisco Giants,Steven Matz,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Patrick Bailey,San Francisco Giants,Jake Woodford,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
