,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Rodolfo Castro,Pittsburgh Pirates,Martin Perez,Texas Rangers,3,2,0,0,0,0,0,0,0,.667,.667,.667,1.334
1,Rodolfo Castro,Pittsburgh Pirates,Nathan Eovaldi,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Rodolfo Castro,Pittsburgh Pirates,Will Smith,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Rodolfo Castro,Pittsburgh Pirates,Justin Bruihl,Los Angeles Dodgers,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
4,Rodolfo Castro,Pittsburgh Pirates,Yency Almonte,Los Angeles Dodgers,2,1,0,0,0,2,0,0,1,.500,.500,.500,1.000
5,Rodolfo Castro,Pittsburgh Pirates,Caleb Ferguson,Los Angeles Dodgers,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
6,Rodolfo Castro,Pittsburgh Pirates,Michael Grove,Los Angeles Dodgers,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
7,Rodolfo Castro,Pittsburgh Pirates,Julio Urias,Los Angeles Dodgers,3,1,0,0,1,2,1,0,2,.333,.400,1.333,1.733
8,Rodolfo Castro,Pittsburgh Pirates,Phil Bickford,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Rodolfo Castro,Pittsburgh Pirates,Ryan Brasier,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Rodolfo Castro,Pittsburgh Pirates,Tony Gonsolin,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Rodolfo Castro,Pittsburgh Pirates,Victor Gonzalez,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Rodolfo Castro,Pittsburgh Pirates,Daniel Hudson,Los Angeles Dodgers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
13,Rodolfo Castro,Pittsburgh Pirates,Emmet Sheehan,Los Angeles Dodgers,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
14,Rodolfo Castro,Pittsburgh Pirates,Gavin Stone,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,Rodolfo Castro,Pittsburgh Pirates,Noah Syndergaard,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Rodolfo Castro,Pittsburgh Pirates,Chase Anderson,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
17,Rodolfo Castro,Pittsburgh Pirates,Jason Adam,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Rodolfo Castro,Pittsburgh Pirates,Josh Fleming,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Rodolfo Castro,Pittsburgh Pirates,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Rodolfo Castro,Pittsburgh Pirates,Shane McClanahan,Tampa Bay Rays,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000
21,Rodolfo Castro,Pittsburgh Pirates,Ryan Thompson,Tampa Bay Rays,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
22,Rodolfo Castro,Pittsburgh Pirates,Richard Bleier,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,Rodolfo Castro,Pittsburgh Pirates,Kutter Crawford,Boston Red Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Rodolfo Castro,Pittsburgh Pirates,Zack Kelly,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
25,Rodolfo Castro,Pittsburgh Pirates,Corey Kluber,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,Rodolfo Castro,Pittsburgh Pirates,Kaleb Ort,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Rodolfo Castro,Pittsburgh Pirates,John Schreiber,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,Rodolfo Castro,Pittsburgh Pirates,Genesis Cabrera,St. Louis Cardinals,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
29,Rodolfo Castro,Pittsburgh Pirates,Ryan Helsley,St. Louis Cardinals,1,1,1,0,0,1,0,0,0,1.000,1.000,2.000,3.000
30,Rodolfo Castro,Pittsburgh Pirates,Jordan Hicks,St. Louis Cardinals,3,2,0,0,0,1,0,0,1,.667,.667,.667,1.334
31,Rodolfo Castro,Pittsburgh Pirates,Jake Woodford,St. Louis Cardinals,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
32,Rodolfo Castro,Pittsburgh Pirates,Steven Matz,St. Louis Cardinals,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
33,Rodolfo Castro,Pittsburgh Pirates,Jordan Montgomery,St. Louis Cardinals,4,1,0,0,0,0,1,0,0,.250,.400,.250,.650
34,Rodolfo Castro,Pittsburgh Pirates,Miles Mikolas,St. Louis Cardinals,6,1,0,0,0,0,0,0,1,.167,.167,.167,.334
35,Rodolfo Castro,Pittsburgh Pirates,Giovanny Gallegos,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,Rodolfo Castro,Pittsburgh Pirates,Chris Stratton,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
37,Rodolfo Castro,Pittsburgh Pirates,Zack Thompson,St. Louis Cardinals,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
38,Rodolfo Castro,Pittsburgh Pirates,Merrill Kelly,Arizona Diamondbacks,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
39,Rodolfo Castro,Pittsburgh Pirates,Miguel Castro,Arizona Diamondbacks,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
