,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Ronald Acuna Jr.,Atlanta Braves,Jonathan Hernandez,Texas Rangers,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
1,Ronald Acuna Jr.,Atlanta Braves,Cody Bradford,Texas Rangers,2,1,0,0,1,2,1,0,1,.500,.667,2.000,2.667
2,Ronald Acuna Jr.,Atlanta Braves,Dane Dunning,Texas Rangers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
3,Ronald Acuna Jr.,Atlanta Braves,Nathan Eovaldi,Texas Rangers,3,1,0,0,1,1,0,0,0,.333,.333,1.333,1.666
4,Ronald Acuna Jr.,Atlanta Braves,Joe Barlow,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Ronald Acuna Jr.,Atlanta Braves,Cole Ragans,Texas Rangers,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
6,Ronald Acuna Jr.,Atlanta Braves,Josh Sborz,Texas Rangers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
7,Ronald Acuna Jr.,Atlanta Braves,Gavin Stone,Los Angeles Dodgers,2,1,1,0,0,0,1,0,0,.500,.667,1.000,1.667
8,Ronald Acuna Jr.,Atlanta Braves,Yency Almonte,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Ronald Acuna Jr.,Atlanta Braves,Tony Gonsolin,Los Angeles Dodgers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Ronald Acuna Jr.,Atlanta Braves,Victor Gonzalez,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Ronald Acuna Jr.,Atlanta Braves,Brusdar Graterol,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Ronald Acuna Jr.,Atlanta Braves,Bobby Miller,Los Angeles Dodgers,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
13,Ronald Acuna Jr.,Atlanta Braves,Evan Phillips,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Ronald Acuna Jr.,Atlanta Braves,Jake Diekman,Tampa Bay Rays,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
15,Ronald Acuna Jr.,Atlanta Braves,Taj Bradley,Tampa Bay Rays,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
16,Ronald Acuna Jr.,Atlanta Braves,Zach Eflin,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Ronald Acuna Jr.,Atlanta Braves,Tyler Glasnow,Tampa Bay Rays,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Ronald Acuna Jr.,Atlanta Braves,Javy Guerra,Tampa Bay Rays,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
19,Ronald Acuna Jr.,Atlanta Braves,Zack Littell,Tampa Bay Rays,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Ronald Acuna Jr.,Atlanta Braves,Elvin Rodriguez,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Ronald Acuna Jr.,Atlanta Braves,Chris Martin,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
22,Ronald Acuna Jr.,Atlanta Braves,Nick Pivetta,Boston Red Sox,3,2,1,0,0,0,0,0,0,.667,.667,1.000,1.667
23,Ronald Acuna Jr.,Atlanta Braves,Brayan Bello,Boston Red Sox,3,1,0,0,1,1,0,0,0,.333,.333,1.333,1.666
24,Ronald Acuna Jr.,Atlanta Braves,Brennan Bernardino,Boston Red Sox,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
25,Ronald Acuna Jr.,Atlanta Braves,Zack Littell,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
26,Ronald Acuna Jr.,Atlanta Braves,Jake Woodford,St. Louis Cardinals,2,2,0,0,1,3,1,0,0,1.000,1.000,2.500,3.500
27,Ronald Acuna Jr.,Atlanta Braves,Steven Matz,St. Louis Cardinals,3,2,0,0,0,0,0,0,0,.667,.667,.667,1.334
28,Ronald Acuna Jr.,Atlanta Braves,Jordan Hicks,St. Louis Cardinals,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
29,Ronald Acuna Jr.,Atlanta Braves,Miles Mikolas,St. Louis Cardinals,4,2,0,0,0,0,0,0,0,.500,.500,.500,1.000
30,Ronald Acuna Jr.,Atlanta Braves,Giovanny Gallegos,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
31,Ronald Acuna Jr.,Atlanta Braves,Chris Stratton,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
32,Ronald Acuna Jr.,Atlanta Braves,Drew VerHagen,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
33,Ronald Acuna Jr.,Atlanta Braves,Andrew Chafin,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
34,Ronald Acuna Jr.,Atlanta Braves,Kevin Ginkel,Arizona Diamondbacks,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
35,Ronald Acuna Jr.,Atlanta Braves,Austin Adams,Arizona Diamondbacks,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
36,Ronald Acuna Jr.,Atlanta Braves,Drey Jameson,Arizona Diamondbacks,2,1,0,0,1,1,0,0,0,.500,.500,2.000,2.500
37,Ronald Acuna Jr.,Atlanta Braves,Miguel Castro,Arizona Diamondbacks,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
38,Ronald Acuna Jr.,Atlanta Braves,Zach Davies,Arizona Diamondbacks,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
