,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Thairo Estrada,San Francisco Giants,Phil Bickford,Los Angeles Dodgers,1,1,0,0,1,1,0,0,0,1.000,1.000,4.000,5.000
1,Thairo Estrada,San Francisco Giants,Brusdar Graterol,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
2,Thairo Estrada,San Francisco Giants,Bryan Hudson,Los Angeles Dodgers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
3,Thairo Estrada,San Francisco Giants,Clayton Kershaw,Los Angeles Dodgers,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
4,Thairo Estrada,San Francisco Giants,Bobby Miller,Los Angeles Dodgers,3,1,1,0,0,0,0,0,1,.333,.333,.667,1.000
5,Thairo Estrada,San Francisco Giants,Yency Almonte,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Thairo Estrada,San Francisco Giants,Caleb Ferguson,Los Angeles Dodgers,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
7,Thairo Estrada,San Francisco Giants,Tony Gonsolin,Los Angeles Dodgers,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
8,Thairo Estrada,San Francisco Giants,Victor Gonzalez,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Thairo Estrada,San Francisco Giants,Evan Phillips,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Thairo Estrada,San Francisco Giants,Tayler Scott,Los Angeles Dodgers,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
11,Thairo Estrada,San Francisco Giants,Emmet Sheehan,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Thairo Estrada,San Francisco Giants,Julio Urias,Los Angeles Dodgers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Thairo Estrada,San Francisco Giants,Alex Vesia,Los Angeles Dodgers,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
14,Thairo Estrada,San Francisco Giants,Steven Matz,St. Louis Cardinals,4,3,0,0,0,1,0,0,0,.750,.750,.750,1.500
15,Thairo Estrada,San Francisco Giants,Miles Mikolas,St. Louis Cardinals,2,1,0,0,0,0,0,0,0,.500,.667,.500,1.167
16,Thairo Estrada,San Francisco Giants,Chris Stratton,St. Louis Cardinals,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
17,Thairo Estrada,San Francisco Giants,Jake Woodford,St. Louis Cardinals,4,2,0,0,0,1,0,0,2,.500,.500,.500,1.000
18,Thairo Estrada,San Francisco Giants,Genesis Cabrera,St. Louis Cardinals,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
19,Thairo Estrada,San Francisco Giants,Jordan Montgomery,St. Louis Cardinals,6,1,0,0,0,1,0,0,1,.167,.167,.167,.334
20,Thairo Estrada,San Francisco Giants,Jack Flaherty,St. Louis Cardinals,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333
21,Thairo Estrada,San Francisco Giants,Ryan Helsley,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Thairo Estrada,San Francisco Giants,Jordan Hicks,St. Louis Cardinals,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
23,Thairo Estrada,San Francisco Giants,Matthew Liberatore,St. Louis Cardinals,2,0,0,0,0,0,0,0,1,.000,.333,.000,.333
24,Thairo Estrada,San Francisco Giants,Andre Pallante,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Thairo Estrada,San Francisco Giants,Drew VerHagen,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
26,Thairo Estrada,San Francisco Giants,Jose Ruiz,Arizona Diamondbacks,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
27,Thairo Estrada,San Francisco Giants,Merrill Kelly,Arizona Diamondbacks,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
28,Thairo Estrada,San Francisco Giants,Scott McGough,Arizona Diamondbacks,3,1,1,0,0,0,0,0,1,.333,.333,.667,1.000
29,Thairo Estrada,San Francisco Giants,Miguel Castro,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
30,Thairo Estrada,San Francisco Giants,Andrew Chafin,Arizona Diamondbacks,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
31,Thairo Estrada,San Francisco Giants,Zac Gallen,Arizona Diamondbacks,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000
32,Thairo Estrada,San Francisco Giants,Tommy Henry,Arizona Diamondbacks,2,0,0,0,0,0,0,0,1,.000,.333,.000,.333
33,Thairo Estrada,San Francisco Giants,Ryne Nelson,Arizona Diamondbacks,6,0,0,0,0,0,0,0,3,.000,.000,.000,.000
34,Thairo Estrada,San Francisco Giants,Kyle Nelson,Arizona Diamondbacks,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
35,Thairo Estrada,San Francisco Giants,Brandon Pfaadt,Arizona Diamondbacks,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
36,Thairo Estrada,San Francisco Giants,Erik Swanson,Toronto Blue Jays,1,1,1,0,0,2,0,0,0,1.000,1.000,2.000,3.000
37,Thairo Estrada,San Francisco Giants,Kevin Gausman,Toronto Blue Jays,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
38,Thairo Estrada,San Francisco Giants,Chris Bassitt,Toronto Blue Jays,2,0,0,0,0,0,0,0,1,.000,.333,.000,.333
39,Thairo Estrada,San Francisco Giants,Bowden Francis,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
